Question,Answer,Points,Pharmacopeia,Pregnancy_Warning
What does left Cun position reveal?,Left Cun position reflects the Heart. Disorders here indicate Heart conditions - Heart fire Heart blood stasis Heart Qi or blood deficiency.,"HT7, HT5, PC6, BL15",Heart-specific formulas,Cardiac monitoring during pregnancy
What does right Cun position reveal?,Right Cun position reflects the Lung. Disorders here indicate Lung conditions - Lung Qi deficiency Lung Yin deficiency external invasion or Lung heat.,"LU9, LU7, BL13, CV17",Lung-specific formulas,Respiratory care during pregnancy
What does left Guan position reveal?,Left Guan position reflects the Liver. Disorders here indicate Liver conditions - Liver Qi stagnation Liver blood deficiency Liver Yang rising or Liver fire.,"LR3, LR8, GB34, BL18",Liver-specific formulas,Liver patterns common during pregnancy
What does right Guan position reveal?,Right Guan position reflects the Spleen. Disorders here indicate Spleen conditions - Spleen Qi deficiency dampness food stagnation or Spleen Yang deficiency.,"SP6, ST36, CV12, BL20",Spleen-specific formulas,Digestive support during pregnancy
What does left Chi position reveal?,Left Chi position reflects the Kidney Yin and Kidney essence. Disorders here indicate Kidney Yin deficiency Jing deficiency or lower jiao blood stasis.,"KI3, KI6, CV4, BL23",Kidney Yin tonics,Kidney support during pregnancy
What does right Chi position reveal?,Right Chi position reflects the Kidney Yang and Ming Men fire. Disorders here indicate Kidney Yang deficiency Ming Men fire deficiency or lower jiao cold.,"GV4, CV4, BL23, KI7",Kidney Yang tonics,Warming with care during pregnancy
What is the pregnancy pulse?,The slippery pulse especially at the Chi position often indicates pregnancy. It feels smooth and rolling. Combined with amenorrhea breast tenderness and other signs confirms pregnancy.,"Prenatal care points",Prenatal formulas,Confirm pregnancy before treatment
How does the pulse change in pregnancy?,During pregnancy the pulse becomes more slippery and slightly rapid. It may also become fuller as blood volume increases. A sudden change from slippery to choppy may indicate problems.,"KI9, ST36, SP6",Shou Tai Wan if threatened,Monitor pulse changes throughout pregnancy
What pulse indicates threatened miscarriage?,A choppy weak or disappearing pulse during early pregnancy may indicate threatened miscarriage. The slippery quality should be maintained; loss of slipperiness is concerning.,"KI9, ST36, CV4",Shou Tai Wan; An Tai formulas,Urgent - refer for medical evaluation
What does a wiry pulse in pregnancy mean?,A wiry pulse during pregnancy may indicate Liver Qi stagnation which can lead to morning sickness breast distension or emotional irritability. Treatment should soothe Liver Qi.,"LR3, PC6, GB34",Xiao Yao San modified for pregnancy,Safe to soothe Liver during pregnancy
What does a choppy pulse indicate in women?,In women a choppy pulse often indicates blood stasis or blood deficiency. May be seen with dysmenorrhea amenorrhea or infertility. Combined with purple tongue confirms stasis.,"SP10, SP6, LR3, BL17",Xue Fu Zhu Yu Tang for stasis; Si Wu Tang for deficiency,Investigate menstrual history; avoid blood movers if pregnant
What does a slippery and rapid pulse mean?,A slippery and rapid pulse indicates phlegm-heat or damp-heat. The slippery quality shows dampness or phlegm; the rapid quality shows heat. Common in infections or inflammatory conditions.,"ST40, LI11, SP9, GV14",Wen Dan Tang; Huang Lian Jie Du Tang,Treat infection carefully during pregnancy
What does a thin and rapid pulse mean?,A thin and rapid pulse indicates Yin deficiency with empty heat. The thinness shows deficient blood/Yin; the rapidity shows heat from deficiency. Common in chronic illness.,"KI3, KI6, SP6, HT6",Liu Wei Di Huang Wan; Zhi Bai Di Huang Wan,Safe Yin tonics during pregnancy
What does a deep and slow pulse mean?,A deep and slow pulse indicates interior cold or Yang deficiency. The depth shows interior location; the slowness shows cold. Moxa and warming herbs are indicated.,"CV4, GV4, ST36 with moxa",Li Zhong Wan; Jin Gui Shen Qi Wan,Warming formulas with care during pregnancy
What does a floating and rapid pulse mean?,A floating and rapid pulse indicates exterior heat or wind-heat invasion. The floating shows surface location; the rapid shows heat. Common in fever with sore throat.,"LI4, LU11, GV14, GB20",Yin Qiao San; Sang Ju Yin,LI4 contraindicated during pregnancy
What does a wiry and thin pulse mean?,A wiry and thin pulse indicates Liver blood deficiency with Qi stagnation. The wiriness shows Liver involvement; the thinness shows blood deficiency. Common in stress with fatigue.,"LR3, LR8, SP6, ST36",Xiao Yao San; Si Wu Tang addition,Safe formula combination during pregnancy
What does a slippery and wiry pulse mean?,A slippery and wiry pulse indicates phlegm with Liver Qi stagnation. May be seen with gallstones masses or emotional disorders with phlegm.,"LR3, GB34, ST40, PC6",Wen Dan Tang; Xiao Yao San,Investigate masses during pregnancy
What does a deep and wiry pulse mean?,A deep and wiry pulse indicates interior pain or deep Liver Qi stagnation. The condition is internal and involves constrained Liver Qi causing pain or masses.,"LR3, LR14, CV12, PC6",Chai Hu Shu Gan San; Jin Ling Zi San,Pain investigation during pregnancy
What does an empty and rapid pulse mean?,An empty and rapid pulse indicates Qi deficiency with heat. The emptiness shows weak Qi; the rapidity shows heat often from Yin deficiency developing.,"ST36, SP6, KI3, CV4",Bu Zhong Yi Qi Tang; Sheng Mai San,Safe formulas during pregnancy
What does pulse diagnosis reveal about prognosis?,Prognosis factors: forceful pulse indicates strong Zheng Qi (good); weak pulse indicates declining vitality (poor); pulse matching the season is favorable; pulse against season is unfavorable.,"Treatment to strengthen Zheng Qi",Constitutional treatment,Long-term planning during pregnancy
What pulses indicate serious conditions?,Serious pulse findings: scattered pulse (organ failure); extremely minute pulse (severe exhaustion); pulse with regular intermittent beats (organ damage); leather pulse (severe blood loss).,"Emergency treatment needed",Emergency formulas,Refer immediately for medical care
How does pulse relate to tongue diagnosis?,Pulse and tongue should confirm each other. If pulse says heat but tongue says cold re-examine. Discrepancy may indicate complex pattern or recent change. Trust clinical picture.,"Comprehensive diagnosis",Comprehensive treatment,Both methods essential for accuracy
What affects pulse reading accuracy?,Factors affecting pulse: recent exercise eating alcohol emotions medications time of day body position. Allow patient to rest; read pulse in consistent conditions.,"Account for variables",Accurate diagnosis essential,Especially careful assessment during pregnancy
What is the ideal pulse?,The ideal healthy pulse is moderate in rate (4-5 beats per breath) moderate in depth moderate in strength with smooth regular rhythm. It should be calm but with spirit (shen).,"Preventive care",Health maintenance,Baseline for pregnancy monitoring
How does age affect the pulse?,Children have naturally rapid pulses. Elderly have naturally weaker pulses. Athletes may have slower pulses. Constitutional body type affects normal pulse quality.,"Age-appropriate treatment",Adjust formulas for age,Age considerations in pregnancy
What does a pulse without spirit mean?,A pulse without spirit (shen) feels lifeless mechanical or chaotic. Even if the rate and depth seem normal lack of spirit indicates poor prognosis. The pulse should feel alive.,"Strengthen Yuan Qi",Strong constitutional formulas,Serious prognostic sign
How long should pulse diagnosis take?,Minimum 50 beats (about one minute) at each position. Compare left and right. Assess at all three depths. Note quality changes during reading. Don't rush pulse diagnosis.,"Thorough assessment",Accurate prescription,Standard diagnostic time
What is the relationship between pulse and Heart?,The Heart governs blood and vessels so pulse reflects Heart function. But pulse also shows the state of all organs through position and quality. Heart rate and rhythm directly shown.,"Heart points if irregular",Heart formulas if needed,Cardiac monitoring during pregnancy
Can pulse predict weather sensitivity?,Some pulses become more wiry before storms or weather changes. Patients with Liver patterns often feel weather changes. Pulse may become deeper in winter floating in summer.,"Seasonal adjustment",Seasonal formula modification,Adapt treatment seasonally during pregnancy
What pulse indicates pain?,Pain often causes wiry pulse from Qi stagnation. The location of wiriness may indicate pain location. Severe pain may cause tight or hidden pulse as Qi contracts.,"LR3, local points, Ahshi",Pain-relieving formulas,Investigate pain cause during pregnancy
What pulse indicates emotional distress?,Emotional distress typically causes wiry pulse from Liver Qi stagnation. Anxiety may add rapidity. Depression may add depth. Anger adds force to wiriness.,"LR3, HT7, PC6, GV20",Xiao Yao San; Gan Mai Da Zao Tang,Emotional support during pregnancy
What does a changeable pulse mean?,A pulse that changes quality during one reading may indicate complex pattern instability of Qi or initial stage of pattern transformation. Monitor closely.,"Careful pattern differentiation",May need formula adjustment,Close monitoring during pregnancy
How does pulse differ left and right?,Left and right pulses should be roughly equal in strength. Left reflects Yin organs right reflects Yang. Significant difference indicates imbalance in corresponding organs.,"Balance left and right",Harmonizing formulas,Normal variation expected
What pulse indicates Qi stagnation?,Qi stagnation causes wiry pulse often at the Guan position (Liver). The pulse feels tense like a guitar string. May be combined with distending pain and emotional symptoms.,"LR3, GB34, PC6, CV17",Xiao Yao San; Chai Hu Shu Gan San,Safe during pregnancy
What pulse indicates Blood stagnation?,Blood stagnation causes choppy pulse - rough uneven and slow. May also feel slightly wiry. Often combined with fixed stabbing pain and dark purple tongue.,"SP10, SP6, LR3, BL17",Xue Fu Zhu Yu Tang,AVOID blood-moving formulas during pregnancy
What pulse indicates Phlegm?,Phlegm causes slippery pulse - smooth and rolling like pearls. If phlegm-heat add rapid quality. If cold-phlegm may be slippery and slow. Check tongue for confirmation.,"ST40, SP9, CV12, LU7",Er Chen Tang; Wen Dan Tang,Mild phlegm-resolving safe during pregnancy
What pulse indicates Dampness?,Dampness causes soft soggy pulse that may be slightly slippery. Often felt at Spleen position. Combined with heavy sensation and thick tongue coating.,"SP9, ST36, CV9, BL22",Ping Wei San; Wu Ling San,Safe dampness-resolving during pregnancy
What indicates combined pulse qualities?,Most clinical pulses combine qualities - wiry and thin wiry and slippery deep and slow etc. Each quality adds information about the pattern.,"Address all pattern aspects",Combined formula approach,Complex patterns during pregnancy
What if pulse contradicts symptoms?,When pulse contradicts symptoms examine more carefully. Check if recent events affected pulse. Consider complex pattern. Sometimes follow pulse sometimes symptoms depending on which seems more reliable.,"Careful clinical judgment",Flexible treatment approach,Thorough assessment during pregnancy
How does season affect normal pulse?,Spring pulse should be slightly wiry (Liver season). Summer slightly full (Heart). Late summer slightly soft (Spleen). Autumn slightly floating (Lung). Winter slightly deep (Kidney).,"Seasonal treatment adjustment",Seasonal formula modification,Seasonal awareness during pregnancy
What pulse indicates recovery from illness?,During recovery pulse should strengthen become less extreme qualities and develop better spirit. Pulse improving faster than symptoms is good sign; pulse worsening while symptoms improve is warning.,"Support recovery",Recovery formulas,Monitor recovery during pregnancy
What does a big pulse mean?,A big or large pulse is full and broad indicating excess condition. If big and forceful indicates heat excess. If big and soft indicates Qi deficiency failing to contain.,"LI11 for heat excess; ST36 for Qi deficiency",Pattern-based treatment,Differentiate excess from deficiency during pregnancy
What does a small pulse mean?,A small or fine pulse is opposite of big - narrow and contained. Indicates blood or Yin deficiency. The blood volume is insufficient to fill vessels normally.,"SP6, ST36, KI3, BL17",Si Wu Tang; Liu Wei Di Huang Wan,Safe blood/Yin tonics during pregnancy
