id,condition,tcm_pattern,patient_qa_concern,therapist_strategy_deep_thinking,tcm_points,pharmacopeia
11,Gilbert's Syndrome,Mild Damp-Heat/Qi Def,"Patient: 'My eyes get slightly yellow when I'm stressed or fasting.'","Strategy: A genetic weakness in processing bilirubin. We support Spleen Qi and gently clear Damp-Heat when flaring.","DU9, SP6, LV3, ST36",Xiao Yao San + Yin Chen
12,Post-Cholecystectomy,Liver Qi/Bile Stagnation,"Patient: 'I still have phantom gallbladder pain and diarrhea after fats.'","Strategy: The reservoir (GB) is gone, so bile flows continuously or irregularly. We must harmonize the duct flow.","GB34, LV14, ST36",Si Ni San
13,Alcoholic Liver,Damp-Heat Toxin,"Patient: 'I drink too much, face is red, temper is short.'","Strategy: Alcohol is pure 'Damp-Heat'. We must dispel alcohol toxins (Ge Hua) and clear heat.","LV2, ST44, GB34",Ge Hua Jie Cheng San
14,Liver Wind (Tremors),Liver Yin Deficiency/Wind,"Patient: 'My hands shake, and I feel dizzy/unstable.'","Strategy: The fluid (Yin) is gone, so the wood dries out and shakes (Wind). Nourish the root to anchor the wind.","LV3, GB20, KD3",Tian Ma Gou Teng Yin
15,Biliary Dyskinesia,Liver Qi Stagnation,"Patient: 'My GB function is low (low ejection fraction), but no stones.'","Strategy: The pump is lazy. We must Move Liver Qi to stimulate the contraction of the gallbladder.","LV3, PC6, GB34",Chai Hu Shu Gan San
16,Liver Fire Rising,Liver Fire,"Patient: 'I have throbbing headaches, red eyes, and explosive anger.'","Strategy: Excess Heat is rushing upward. We must drain the Fire downward immediately.","LV2, GB20, LI11",Long Dan Xie Gan Tang
17,Liver Blood Deficiency,Blood Deficiency,"Patient: 'My nails are brittle, vision is blurry, and I cramp easily.'","Strategy: The Liver stores blood. If empty, it cannot nourish the tendons or eyes. Tonify Blood.","LV8, SP6, ST36",Si Wu Tang
18,Liver Qi Stagnation (Emotional),Qi Stagnation,"Patient: 'I feel a lump in my throat and mood swings.'","Strategy: This is the classic 'constraint'. The Qi needs to flow Freely and Easily.","LV3, LI4, Yintang",Xiao Yao San
19,Costochondritis,Liver Qi Stagnation,"Patient: 'Sharp pain in my ribs, worse when I breathe deep.'","Strategy: The Liver channel wraps the ribs. Stagnation here causes intercostal pain.","SJ6, GB34, LV14",Chai Hu Shu Gan San
20,Jaundice (Yang),Damp-Heat,"Patient: 'Bright orange/yellow skin and eyes, fever.'","Strategy: Yang Jaundice is acute Damp-Heat. Clear it fast.","DU9, SI4, LI11",Yin Chen Hao Tang
21,Jaundice (Yin),Cold-Damp,"Patient: 'Dull yellow skin, cold limbs, fatigue.'","Strategy: Yin Jaundice is Cold-Damp. Do not use cold herbs! Warm the Spleen to dispel the yellow.","DU9, SP9, ST36",Yin Chen Zhu Fu Tang
22,Liver Yang Rising,Kidney Yin Deficiency,"Patient: 'I feel top-heavy, dizzy, but my legs are weak.'","Strategy: 'Top Heavy, Bottom Weak'. Anchor the Yang by nourishing the Kidney Yin below.","KD1, LV3, GB20",Tian Ma Gou Teng Yin
23,Hemochromatosis (Support),Blood Heat/Stasis,"Patient: 'I have iron overload (Bronze Diabetes).'","Strategy: Iron overload creates internal Heat and Stasis. We must Cool Blood and Move Stasis gently.","LI11, SP10, BL17",Xi Jiao Di Huang Tang
24,Liver Cyst,Phlegm-Fluid Accumulation,"Patient: 'I have a fluid-filled cyst on my liver.'","Strategy: Cysts are 'Phlegm-Fluid'. We need to transform phlegm and move fluids in the Liver channel.","ST40, LV13, SP9",Ling Gui Zhu Gan Tang
25,Portal Hypertension,Blood Stasis,"Patient: 'High pressure in my liver veins.'","Strategy: This is advanced Stasis. We must invigorate collaterals, but be careful of bleeding risk.","BL17, LV3, SP10",Xue Fu Zhu Yu Tang
