Question,Answer,Points,Pharmacopeia,Pregnancy_Warning
What points help with intercostal neuralgia?,GB34 for sinews/ribs. LR14 along ribs. Huatuojiaji at corresponding level. PC6 for chest. Local Ahshi along intercostal.,"GB34, LR14, Huatuojiaji, PC6, Ahshi",Chai Hu Shu Gan San,Investigate cause during pregnancy
How to treat postherpetic neuralgia?,Surround the dragon (points around affected area). LI4 and LI11 for channel. GB34 for sinews. SP10 for blood. Local Ahshi avoiding lesions.,"Surround technique, LI4, LI11, GB34, SP10",Long Dan Xie Gan Tang; Xue Fu Zhu Yu Tang,LI4 contraindicated during pregnancy; pain management safe
What is the treatment for trigeminal neuralgia?,ST7 (Xiaguan) for jaw. ST6 for cheek. LI4 for face. GB14 for forehead. Taiyang for temple. SJ17 for jaw.,"ST7, ST6, LI4, GB14, Taiyang, SJ17",Chuan Xiong Cha Tiao San modified,LI4 contraindicated during pregnancy
How to treat occipital neuralgia?,GB20 (Fengchi) essential. BL10 (Tianzhu) local. GV16 (Fengfu) for occiput. SI3 for Du Mai. GB21 for tension.,"GB20, BL10, GV16, SI3, GB21",Ge Gen Tang,GB21 contraindicated during pregnancy
What points help with diabetic neuropathy?,ST36 and SP6 for blood nourishment. LR3 for Liver blood. KI3 for Kidney. Local points on affected limbs. BL17 for blood.,"ST36, SP6, LR3, KI3, local points, BL17",Pattern-based blood-nourishing formulas,Safe neuropathy support during pregnancy
How to treat phantom limb pain?,Points on opposite limb corresponding to phantom area. GV20 for central processing. HT7 for Heart/perception. Mirror points on intact limb.,"Mirror points, GV20, HT7",Pattern-based pain formulas,Safe phantom pain treatment during pregnancy
What is the treatment for complex regional pain syndrome (CRPS)?,Local points with extreme caution. Distal points on opposite limb. ST36 and SP6 for blood. GV20 for central sensitization. LR3 for Qi flow.,"Careful local, distal points, ST36, SP6, GV20, LR3",Xue Fu Zhu Yu Tang modified,Careful approach during pregnancy
How to treat myofascial pain syndrome?,Trigger point needling essential. GB34 for muscles. ST36 for Qi. BL17 for blood. Local Ahshi at trigger points.,"Trigger points, GB34, ST36, BL17, Ahshi",Shen Tong Zhu Yu Tang; Juan Bi Tang,Safe trigger point work during pregnancy with care
What points help with arthritis pain?,Local points around affected joint. GB34 for sinews. ST36 for Qi. SP6 for blood. BL17 for blood. Pattern-based distal.,"Local joint points, GB34, ST36, SP6, BL17",Du Huo Ji Sheng Tang; Juan Bi Tang,Safe arthritis support during pregnancy
How to treat rheumatoid arthritis with acupuncture?,Local affected joints gently. LI4 and LI11 for upper limb. ST36 and GB34 for lower. SP6 for blood. Pattern differentiation for formula.,"Gentle local, LI4, LI11, ST36, GB34, SP6",Juan Bi Tang; pattern-based formulas,LI4 contraindicated during pregnancy; coordinate with rheumatology
What is the treatment for osteoarthritis?,Local joint points. GB34 for sinews. ST36 and SP6 for nourishment. KI3 for Kidney (bone). Moxa often helpful for cold type.,"Local points, GB34, ST36, SP6, KI3",Du Huo Ji Sheng Tang,Safe OA support during pregnancy
How to treat gout with acupuncture?,SP9 (Yinlingquan) drains damp-heat. LI11 clears heat. GB34 for sinews. Local points around affected joint avoiding acute inflammation. SP6 for blood.,"SP9, LI11, GB34, careful local, SP6",Si Miao San; modified damp-heat formulas,Gout flares need medical management during pregnancy
What points help with ankylosing spondylitis?,BL23 and GV4 for Kidney/spine. Huatuojiaji along spine. GB34 for sinews. ST36 for overall. SI3 for Du Mai.,"BL23, GV4, Huatuojiaji, GB34, ST36, SI3",Du Huo Ji Sheng Tang modified,Coordinate with rheumatology during pregnancy
How to treat bursitis?,Local points around bursa. GB34 for sinews. LI11 for heat/inflammation. LI4 for pain. ST36 for overall healing.,"Local Ahshi, GB34, LI11, LI4, ST36",Shen Tong Zhu Yu Tang,LI4 contraindicated during pregnancy
What is the treatment for tendinitis?,Local points at tendon. GB34 (Yanglingquan) influential for sinews. LI4 for pain. Ahshi at tender point. Channel points based on location.,"Local, GB34, LI4, Ahshi, channel points",Shen Tong Zhu Yu Tang; Juan Bi Tang,LI4 contraindicated during pregnancy
How to treat Achilles tendinitis?,BL60 (Kunlun) local for Achilles. KI3 medial support. BL57 (Chengshan) for calf. GB34 for sinews. Local Ahshi.,"BL60, KI3, BL57, GB34, Ahshi",Du Huo Ji Sheng Tang topical,BL60 contraindicated during pregnancy
What points help with chronic muscle spasm?,GB34 (Yanglingquan) for all muscles. Local Ahshi at spasm. LR3 for Liver affecting muscles. ST36 for nourishment. Shao Yao Gan Cao Tang internally.,"GB34, Ahshi, LR3, ST36",Shao Yao Gan Cao Tang,Safe muscle relaxation during pregnancy
How to treat chronic tension in upper trapezius?,GB21 (Jianjing) central for trapezius. GB20 for neck attachment. SI14 and SI15 for scapular. LI4 for pain relief.,"GB21, GB20, SI14, SI15, LI4",Ge Gen Tang; Xiao Yao San,GB21 and LI4 contraindicated during pregnancy
What is the treatment for chronic pain from old injury?,Local Ahshi points. SP10 (Xuehai) for blood stasis. SP6 for blood. BL17 for blood. LR3 for Qi stagnation.,"Ahshi, SP10, SP6, BL17, LR3",Xue Fu Zhu Yu Tang; Shen Tong Zhu Yu Tang,Avoid strong blood-movers during pregnancy
How to treat chronic pelvic pain?,CV4 and CV3 for lower abdomen. SP6 for pelvic blood. LR3 for Liver channel. BL32 (Ciliao) for sacral. ST29 (Guilai) for lower abdomen.,"CV4, CV3, SP6, LR3, BL32, ST29",Shao Fu Zhu Yu Tang,Investigate cause during pregnancy; gentle approach
What points help with chronic buttock pain?,GB30 (Huantiao) for buttock. BL54 (Zhibian) for gluteal. BL36 for buttock. GB34 for sinews. Ahshi locally.,"GB30, BL54, BL36, GB34, Ahshi",Du Huo Ji Sheng Tang,Safe buttock treatment during pregnancy
How to treat coccyx pain?,GV1 (Changqiang) with care. BL30 (Baihuanshu) for sacral. BL32 for Ciliao. GV2 (Yaoshu) for coccyx. Ahshi locally.,"GV1, BL30, BL32, GV2, Ahshi",Du Huo Ji Sheng Tang,Gentle technique during pregnancy
What is the treatment for chronic thigh pain?,ST32 (Futu) for anterior. GB31 (Fengshi) for lateral. BL37 for posterior. SP10 for blood. GB34 for sinews.,"ST32, GB31, BL37, SP10, GB34",Du Huo Ji Sheng Tang; Shen Tong Zhu Yu Tang,Safe thigh treatment during pregnancy
How to treat chronic calf pain?,BL57 (Chengshan) key for calf. GB34 for sinews. ST36 for overall. BL58 (Feiyang) for calf. Ahshi locally.,"BL57, GB34, ST36, BL58, Ahshi",Shao Yao Gan Cao Tang,Safe calf treatment during pregnancy
What points help with chronic arm pain?,LI11 (Quchi) for elbow/arm. LI10 for forearm. SJ5 for lateral. HT3 for medial. LI4 for channel.,"LI11, LI10, SJ5, HT3, LI4",Shen Tong Zhu Yu Tang,LI4 contraindicated during pregnancy
How to treat weather-related pain?,Points based on location of pain. ST36 for Wei Qi. SP6 for blood. GB34 for sinews. Moxa if cold-damp pattern.,"Location-based plus ST36, SP6, GB34",Juan Bi Tang for wind-damp,Safe weather-related treatment during pregnancy
What is electroacupuncture for pain?,Electroacupuncture adds electrical stimulation to needles. 2-100 Hz frequency. Low frequency (2-4 Hz) for chronic pain endorphins. High frequency (80-100 Hz) for acute pain enkephalins.,"Point selection same as manual",Combined with herbal formulas,Generally avoided during pregnancy especially abdominal points
How does acupuncture work for pain?,Acupuncture activates endogenous opioid system. Releases endorphins enkephalins dynorphins. Modulates pain gate at spinal cord. Affects limbic system pain processing. Reduces inflammation locally.,"All pain points work through these mechanisms",Formulas enhance effects,Safe pain mechanism during pregnancy
What is the role of Ahshi points in pain treatment?,Ahshi points are tender points where pathology concentrates. Press to find then needle. They directly address local stagnation. Essential for musculoskeletal pain. Combine with channel points.,"Ahshi always included in pain treatment",Local and systemic formulas,Safe Ahshi needling during pregnancy with care
How to treat chronic pain with underlying deficiency?,ST36 and SP6 to tonify Qi and blood first. Then address stagnation gently. BL17 and BL20 for blood and Spleen. KI3 for Kidney if involved.,"ST36, SP6, BL17, BL20, KI3",Tonifying formulas first: Ba Zhen Tang; then pain formulas,Safe deficiency treatment during pregnancy
What is the best frequency for chronic pain treatment?,Initially 2-3 times weekly for 4-6 weeks. Then taper to weekly. Maintenance monthly. Chronic pain needs consistent treatment over months.,"Consistent treatment schedule",Long-term formula use,Safe frequency during pregnancy
