Question,Answer,Category,Notes
What are the Four Gates (Si Guan) points?,"Four Gates (Si Guan) = LI4 + LV3 bilaterally. The most powerful combination for moving Qi and Blood throughout the body. Indications: Stress, pain, emotional stagnation, headache, menstrual irregularities. Technique: Strong stimulation. CONTRAINDICATION: Avoid LI4 in pregnancy.",point_reference,Classical combination
What are the Back-Shu points and their uses?,"Back-Shu points are on the Bladder meridian, 1.5 cun lateral to the spine. They treat their associated organ: BL13-Lung, BL14-Pericardium, BL15-Heart, BL18-Liver, BL19-Gallbladder, BL20-Spleen, BL21-Stomach, BL22-Triple Energizer, BL23-Kidney, BL25-Large Intestine, BL27-Small Intestine, BL28-Bladder. Use for chronic organ deficiency.",point_reference,Transport points
What are the Front-Mu points and their uses?,"Front-Mu points are on the chest/abdomen. They treat their associated organ in acute/excess conditions: LU1-Lung, CV17-Pericardium, CV14-Heart, LV14-Liver, GB24-Gallbladder, LV13-Spleen, CV12-Stomach, CV5-Triple Energizer, GB25-Kidney, ST25-Large Intestine, CV4-Small Intestine, CV3-Bladder.",point_reference,Alarm points
What are the Yuan-Source points and their uses?,"Yuan-Source points connect to Original Qi. LU9-Lung, LI4-LI, ST42-Stomach, SP3-Spleen, HT7-Heart, SI4-SI, BL64-Bladder, KI3-Kidney, PC7-Pericardium, TE4-TE, GB40-Gallbladder, LV3-Liver. Use to tonify the organ's Qi and treat chronic deficiency patterns.",point_reference,Source points
What are the He-Sea points and their uses?,"He-Sea points are at the elbows/knees where Qi is deepest. LU5, LI11, ST36, SP9, HT3, SI8, BL40, KI10, PC3, TE10, GB34, LV8. Use for disorders of the Fu organs, Dampness, and rebellious Qi. 'The sea is where rivers return' - treats the whole meridian.",point_reference,Sea points
What are the Luo-Connecting points and their uses?,"Luo-Connecting points link paired meridians. LU7, LI6, ST40, SP4, HT5, SI7, BL58, KI4, PC6, TE5, GB37, LV5. Use for emotional and psychological issues, and for treating the paired meridian. SP4 connects to Chong Mai.",point_reference,Connecting points
What are the Eight Influential points?,"Eight Influential (Hui) points influence body tissues: CV12-Fu organs, LV13-Zang organs, CV17-Qi, BL17-Blood, GB34-Sinews, LU9-Vessels, BL11-Bones, GB39-Marrow. Use these when treating the specific tissue type.",point_reference,Influential points
What are the Eight Extraordinary Vessel opening points?,"Opening points for Extra Vessels: SI3-Du Mai (pairs BL62), LU7-Ren Mai (pairs KI6), GB41-Dai Mai (pairs TE5), SP4-Chong Mai (pairs PC6). KI6-Yin Qiao (pairs LU7), BL62-Yang Qiao (pairs SI3), PC6-Yin Wei (pairs SP4), TE5-Yang Wei (pairs GB41).",point_reference,Extra vessels
What is DU14 (Dazhui) and how is it used?,"DU14 (Dazhui) - Great Vertebra. Location: Below the spinous process of C7, on the midline. Depth: 0.5-1 cun oblique superiorly. Actions: Clears Heat, releases exterior, treats malaria, calms the mind. Meeting point of all Yang meridians. Best point for clearing any type of Heat or fever.",point_reference,All Yang meeting
What is DU20 (Baihui) main clinical uses?,"GV20/DU20 (Baihui) clinical uses: Prolapse (uterine, rectal, hemorrhoids) - raises Yang; Headache at vertex; Dizziness and hypertension - subdues Yang; Depression and mental fog - clears the mind; Stroke recovery - benefits the brain. Use moxa for prolapse, needling for excess patterns.",point_reference,Clinical applications
What is the moxa technique at ST36?,"Moxa at ST36 (Zusanli) is one of the most powerful tonification methods in TCM. Traditional recommendation: 'moxibustion at ST36 every day prevents all disease.' Use for: chronic fatigue, weak digestion, immune deficiency, cold constitution. Technique: 3-5 direct rice-grain moxa cones or 10-15 minutes indirect moxa.",point_reference,Moxa technique
What are the main points for calming Shen?,"Main Shen-calming points: HT7 (Shenmen) - primary calming point; PC6 (Neiguan) - opens the chest, anxiety; GV20 (Baihui) - clears the mind, depression; Yintang - frontal calming, insomnia; Anmian - specific for sleep; Sishencong (four points around GV20) - calms hyperactive mind.",point_reference,Shen calming
What are the main points for stopping pain?,"Main analgesic points: LI4 - face and head pain; ST44 - face and teeth; BL40 - low back (command point); GB34 - sinew pain anywhere; Ashi points - local pain. For strong analgesia: use Four Gates + electroacupuncture 100Hz. SI3+BL62 for acute spine pain.",point_reference,Pain relief
What are common forbidden points in pregnancy?,"Forbidden points in pregnancy: LI4, SP6 (strongly move Qi/Blood, can induce labor); BL60, BL67 (used for labor induction); GB21 (descends Qi, can cause miscarriage); Sacral points; abdominal points with deep needling. LI4 and SP6 can be used deliberately to induce labor at term.",point_reference,Pregnancy cautions
What are the Huatuojiaji points?,"Huatuojiaji (Jiaji) points are extra points 0.5 cun bilateral to the spinous processes from T1-L5. They treat local spine problems and influence their associated organ level. T1-3 for Lung, T4-7 for Heart/Pericardium, T9-10 for Liver/GB, T11-12 for Spleen/Stomach, L2-3 for Kidney, L4-5 for intestines.",point_reference,Extra points - spine
