Question,Answer,Points,Pharmacopeia,Pregnancy_Warning
What does a yellow tongue coating mean?,A yellow coating indicates heat. The darker the yellow the more severe the heat. A thick yellow greasy coating indicates damp-heat. Yellow at the root indicates lower jiao heat.,"LI4, LI11, GV14, ST44",Huang Lian Jie Du Tang for excess heat; Long Dan Xie Gan Tang for damp-heat,Avoid strong bitter-cold herbs during pregnancy
What does a gray or black tongue coating indicate?,A gray coating indicates either severe cold or heat. A black coating is the extreme of gray - black and dry indicates extreme heat consuming fluids; black and wet indicates extreme cold.,"GV14 for heat, CV4 with moxa for cold, KI3, SP6",Da Cheng Qi Tang for heat with constipation; Si Ni Tang for cold,Serious sign - requires careful evaluation
What does no tongue coating mean?,Absence of tongue coating indicates Stomach Yin deficiency - the Stomach cannot produce normal coating fluids. Often accompanies dry mouth thirst and poor appetite.,"ST36, SP6, KI3, CV12",Sha Shen Mai Dong Tang; Yi Wei Tang,Safe to nourish Stomach Yin during pregnancy
What does a peeled tongue coating mean?,A partially peeled or geographic coating indicates Stomach Yin or Qi deficiency. The areas without coating show where the fluids cannot be produced. Different from geographic tongue in presentation.,"ST36, SP6, CV12, KI3",Sha Shen Mai Dong Tang; Liu Jun Zi Tang,Safe during pregnancy
What do cracks in the tongue indicate?,Cracks indicate heat consuming fluids or constitutional Yin deficiency. A center crack reaching to the tip indicates Heart fire or Heart Yin deficiency. Horizontal cracks indicate Spleen Yin deficiency.,"KI3, KI6, HT6, SP6",Tian Wang Bu Xin Dan for Heart; Liu Wei Di Huang Wan for Kidney,Safe to nourish Yin during pregnancy
What does a red tip of the tongue mean?,A red tongue tip indicates Heart fire or Heart heat. Often seen with emotional stress anxiety insomnia or emotional upset. The tip corresponds to the Heart in tongue diagnosis.,"HT7, HT8, PC6, KI6",Zhu Sha An Shen Wan; Tian Wang Bu Xin Dan,Avoid Zhu Sha during pregnancy - use alternatives
What do red sides of the tongue indicate?,Red sides of the tongue indicate Liver and Gallbladder fire or heat. Often seen with irritability anger headaches and eye problems. The sides correspond to Liver/Gallbladder.,"LR2, LR3, GB43, GB20",Long Dan Xie Gan Tang; Xiao Yao San,Avoid strong Liver-clearing herbs during pregnancy
What does a swollen tip of the tongue mean?,A swollen tongue tip with redness indicates Heart fire with phlegm. If pale and swollen it indicates Heart Qi or Yang deficiency. May be seen with anxiety palpitations or speech issues.,"HT7, PC6, ST40, CV17",Dao Tan Tang; Tian Wang Bu Xin Dan,Evaluate cardiac symptoms during pregnancy
What do teeth marks on the tongue indicate?,Teeth marks (scalloped edges) indicate Spleen Qi deficiency - the tongue is swollen from dampness accumulation and presses against the teeth. Often seen with fatigue and loose stools.,"SP6, ST36, CV12, BL20",Liu Jun Zi Tang; Shen Ling Bai Zhu San,Safe Spleen-tonifying during pregnancy
What does a short tongue indicate?,A short tongue that cannot fully extend indicates severe internal condition - either extreme heat consuming fluids or extreme cold congealing the channels. Requires careful differential diagnosis.,"Pattern dependent, GV26 for emergency",Pattern dependent,Serious sign - medical evaluation needed
What does a long tongue indicate?,A long tongue often indicates Heart heat causing the tongue to extend. May also be constitutional. If combined with redness suggests Heart fire.,"HT7, HT8, KI6, PC6",Huang Lian Jie Du Tang; Dao Chi San,Avoid strong heat-clearing during pregnancy
What does a dry tongue indicate?,A dry tongue indicates fluid deficiency from heat consuming fluids or Yin deficiency. May also indicate blood deficiency if pale and dry. The degree of dryness indicates severity.,"KI3, KI6, SP6, ST36",Liu Wei Di Huang Wan; Sha Shen Mai Dong Tang,Safe to nourish fluids during pregnancy
What does a wet or moist tongue indicate?,Excessive moisture on the tongue indicates Yang deficiency with water retention or cold-dampness. The Spleen fails to transform fluids properly leading to accumulation.,"SP9, ST36, CV9, BL20",Wu Ling San; Li Zhong Wan,Safe during pregnancy for fluid regulation
What do red spots on the tongue mean?,Red spots or dots on the tongue indicate heat or blood stasis with heat. Location matters - spots on the tip indicate Heart blood stasis; spots on the sides indicate Liver blood heat.,"SP10, LR3, HT7, BL17",Xue Fu Zhu Yu Tang modified; Dan Zhi Xiao Yao San,Avoid blood-moving formulas during pregnancy
What does a purple sublingual vein indicate?,Distended or dark purple sublingual veins indicate blood stasis. Normal veins are faint; darkened or distended veins show blood circulation impairment.,"SP10, SP6, LR3, PC6",Xue Fu Zhu Yu Tang; Tao Hong Si Wu Tang,AVOID blood-moving formulas during pregnancy
What does a thick root coating indicate?,A thick coating at the tongue root indicates pathogenic factors in the lower jiao or Kidney area. White thick indicates cold-damp in lower jiao; yellow thick indicates damp-heat.,"BL23, CV3, SP9, KI3",Ba Zheng San for damp-heat; Ji Sheng Shen Qi Wan for cold,Pattern dependent - evaluate for UTI in pregnancy
What does a coating only at the root mean?,A coating present only at the root with the rest peeled indicates Kidney deficiency with dampness in the lower jiao while Stomach Yin is deficient.,"KI3, ST36, SP6, CV12",Liu Wei Di Huang Wan with Yin tonics,Safe during pregnancy
What does a slippery tongue coating indicate?,A slippery or greasy coating indicates phlegm-dampness. The greasier and thicker the coating the more severe the phlegm. Often seen with digestive issues or respiratory phlegm.,"ST40, SP9, CV12, PC6",Er Chen Tang; Wen Dan Tang,Safe to resolve phlegm during pregnancy with mild formulas
What does a dry yellow coating indicate?,A dry yellow coating indicates heat consuming fluids - often Stomach or Intestinal heat with constipation. The drier the coating the more severe the fluid damage.,"ST44, LI11, ST25, KI6",Ma Zi Ren Wan; Zeng Ye Tang,Use mild moistening herbs during pregnancy
What does a white coating turning yellow indicate?,A coating changing from white to yellow indicates the pathogenic factor is transforming from cold to heat or the disease is progressing inward. Important observation for treatment strategy.,"LI4, LI11, ST44, GV14",Yin Qiao San early; Bai Hu Tang if heat develops,Adjust treatment as pattern evolves during pregnancy
What does the tongue root color indicate?,The tongue root corresponds to the Kidney and lower jiao. A red root indicates lower jiao heat; a pale root indicates Kidney Yang deficiency; dark or purple indicates lower jiao blood stasis.,"KI3, CV4, BL23, SP6",Pattern dependent based on color,Evaluate for pregnancy-related conditions if applicable
What does the tongue tip color indicate?,The tongue tip corresponds to the Heart and upper jiao. Red tip indicates Heart fire; pale tip indicates Heart blood or Qi deficiency; purple tip indicates Heart blood stasis.,"HT7, HT8, PC6, BL15",Pattern dependent based on color,Cardiac symptoms need evaluation during pregnancy
What does the tongue center indicate?,The center of the tongue corresponds to Spleen and Stomach. A crack in the center indicates Stomach Yin deficiency; coating changes in center reflect digestive function.,"ST36, CV12, SP6, PC6",Pattern dependent based on presentation,Safe to treat digestive issues during pregnancy
What does tongue color in different areas mean?,Different areas reflect different organs: tip=Heart; sides=Liver/GB; center=Spleen/Stomach; root=Kidney. Color changes in specific areas indicate problems in corresponding organs.,"Organ-specific point selection",Organ-specific formula selection,Evaluate each area separately for treatment
What does a greasy coating indicate?,A greasy coating that is difficult to scrape off indicates phlegm-dampness or food stagnation. May be white (cold-phlegm) or yellow (phlegm-heat).,"ST40, SP9, CV12, LI11",Er Chen Tang; Wen Dan Tang for phlegm-heat,Safe to resolve phlegm with mild formulas during pregnancy
What does a moldy or curdled coating indicate?,A moldy appearance suggests severe dampness with turbidity or food stagnation transforming to heat. Often seen in serious digestive disorders.,"ST25, CV12, ST40, LI4",Bao He Wan; Ping Wei San,Investigate digestive issues carefully during pregnancy
What does coating that is easy to scrape indicate?,A coating that scrapes off easily leaving a clean surface indicates the pathogenic factor is superficial and not deeply rooted. Better prognosis.,"Pattern dependent",Mild formulas usually sufficient,Generally indicates less serious condition
What does a coating that cannot be scraped indicate?,A coating firmly attached that cannot be scraped indicates the pathogenic factor is deeply rooted and more serious. The condition is more chronic.,"Pattern dependent with deeper treatment",Stronger formulas may be needed,Chronic conditions need careful management during pregnancy
What does a half-coated tongue indicate?,A tongue with coating on only half (front or back left or right) indicates the pathogenic factor is in a specific location corresponding to that area.,"Location-specific points",Pattern dependent,Identify affected organ system
What does rapid coating changes indicate?,A coating that changes rapidly (within hours or days) indicates the pathogenic factor is moving or the disease is in acute phase. Monitor closely.,"Frequent reassessment needed",May need formula adjustment,Acute changes need monitoring during pregnancy
What does slow coating changes indicate?,Slow coating changes over weeks or months indicate chronic condition. The underlying pattern is more deeply rooted and treatment takes longer.,"Constitutional treatment approach",Tonifying formulas often needed,Long-term treatment planning for pregnancy
What does a thick coating becoming thin mean?,A thick coating becoming thin indicates the pathogenic factor is being resolved. This is a positive sign showing treatment effectiveness.,"Continue treatment approach",Maintain formula or adjust,Good prognostic sign
What does a thin coating becoming thick mean?,A thin coating becoming thick indicates disease progression or new pathogenic invasion. May need to reassess treatment strategy.,"Reassess pattern",May need stronger intervention,Worsening sign - evaluate carefully during pregnancy
What tongue presentation indicates Liver Qi stagnation?,Liver Qi stagnation often shows a normal or slightly dark tongue body with thin white coating. The sides may be slightly redder or show distension. Sublingual veins may be slightly distended.,"LR3, LR14, GB34, PC6",Xiao Yao San; Chai Hu Shu Gan San,Safe formula during pregnancy with modification
What tongue indicates Spleen Qi deficiency?,Spleen Qi deficiency shows a pale swollen tongue with teeth marks and a thin white coating. The tongue may appear flabby and moist.,"ST36, SP6, CV12, BL20",Liu Jun Zi Tang; Bu Zhong Yi Qi Tang,Safe to tonify Spleen during pregnancy
What tongue indicates Kidney Yang deficiency?,Kidney Yang deficiency shows a pale puffy moist tongue with white slippery coating. May have tooth marks. The root area may appear particularly pale or wet.,"CV4, GV4, BL23, KI3",Jin Gui Shen Qi Wan; You Gui Wan,Warming Kidney Yang safe with care during pregnancy
What tongue indicates Kidney Yin deficiency?,Kidney Yin deficiency shows a red tongue with little or no coating especially at the root. May have cracks particularly in the center reaching to the root. Surface appears dry.,"KI3, KI6, SP6, LR8",Liu Wei Di Huang Wan; Zuo Gui Wan,Safe to nourish Kidney Yin during pregnancy
What tongue indicates Heart Fire?,Heart Fire shows a red tongue tip that may be swollen or have red points. The tip may also appear darker red than the rest of the tongue. Often with red face and anxiety.,"HT7, HT8, PC6, KI6",Dao Chi San; Huang Lian Jie Du Tang,Avoid strong heat-clearing during pregnancy
What tongue indicates Damp-Heat in Lower Jiao?,Damp-Heat in Lower Jiao shows a red tongue with yellow greasy coating particularly at the root. May have red spots at the root area.,"SP9, BL22, CV3, LI11",Ba Zheng San; Long Dan Xie Gan Tang,Evaluate for UTI in pregnancy - refer if needed
What tongue indicates Blood Stasis?,Blood Stasis shows a purple or dark tongue body. May have dark spots or areas. Sublingual veins are distended and dark. The coating may be normal or thin.,"SP10, SP6, LR3, BL17",Xue Fu Zhu Yu Tang; Shao Fu Zhu Yu Tang,AVOID blood-moving formulas during pregnancy
What tongue indicates Phlegm-Dampness?,Phlegm-Dampness shows a swollen tongue body with a thick greasy white coating. The tongue appears wet and the coating is difficult to scrape off.,"ST40, SP9, CV12, LU7",Er Chen Tang; Wen Dan Tang,Mild phlegm-resolving safe during pregnancy
What tongue indicates External Wind-Cold?,Wind-Cold invasion shows a normal or slightly pale tongue with thin white coating. The coating may be slightly thicker than normal indicating the pathogenic factor.,"LU7, LI4, GB20, BL12",Ma Huang Tang; Gui Zhi Tang,LI4 contraindicated during pregnancy - use alternatives
What tongue indicates External Wind-Heat?,Wind-Heat invasion shows a slightly red tongue tip and edges with thin yellow coating. The coating change from white to yellow indicates heat.,"LI4, LU11, GV14, LI11",Yin Qiao San; Sang Ju Yin,Avoid LI4 and strong dispersing during pregnancy
What tongue indicates Stomach Yin Deficiency?,Stomach Yin deficiency shows a tongue with no coating or peeling coating particularly in the center. The surface appears dry and may have a center crack. The tongue body may be slightly red.,"ST36, SP6, CV12, KI3",Sha Shen Mai Dong Tang; Yi Wei Tang,Safe to nourish Stomach Yin during pregnancy
What tongue indicates Lung Yin Deficiency?,Lung Yin deficiency shows a red dry tongue particularly in the front third. May have thin cracks in the Lung area. Coating is thin or absent in the front.,"LU9, KI6, LU7, CV17",Bai He Gu Jin Tang; Sha Shen Mai Dong Tang,Safe to nourish Lung Yin during pregnancy
What tongue indicates Liver Blood Deficiency?,Liver Blood deficiency shows a pale thin tongue particularly on the sides. The coating is usually thin and white. The sides may appear slightly pale compared to normal.,"LR8, SP6, ST36, BL18",Si Wu Tang; Dang Gui Bu Xue Tang,Safe to nourish Liver blood during pregnancy
What tongue indicates Heart Blood Deficiency?,Heart Blood deficiency shows a pale thin tongue particularly at the tip. May appear slightly withered. The coating is thin white. Often seen with anxiety and insomnia.,"HT7, SP6, BL15, PC6",Gui Pi Tang; Tian Wang Bu Xin Dan,Safe to nourish Heart blood during pregnancy
What tongue indicates Lung Qi Deficiency?,Lung Qi deficiency shows a slightly pale tongue with thin white coating. The front area may appear slightly swollen or puffy. Overall appearance is somewhat weak.,"LU9, ST36, BL13, CV17",Bu Fei Tang; Yu Ping Feng San,Safe to tonify Lung Qi during pregnancy
What indicates Heart and Kidney not communicating?,This pattern shows a red tongue particularly at the tip and root. The tip has Heart fire signs while the root shows Kidney deficiency. There may be a center crack connecting both areas.,"HT7, KI3, PC6, KI6",Tian Wang Bu Xin Dan; Jiao Tai Wan,Safe formula modifications during pregnancy
What tongue indicates Liver Fire?,Liver Fire shows a red tongue with redder sides. The sides may be raised or appear swollen. The coating is yellow particularly on the sides. May have red spots on sides.,"LR2, LR3, GB43, GB20",Long Dan Xie Gan Tang; Xiao Yao San modified,Avoid strong Liver-clearing during pregnancy
What tongue indicates Cold in the Uterus?,Cold in the Uterus shows a pale or bluish tongue with white moist coating. The root area corresponding to lower jiao may appear particularly pale or have a white wet coating.,"CV4, CV6, ST36, SP6",Wen Jing Tang; Ai Fu Nuan Gong Wan,Use with caution during pregnancy - pattern specific
What tongue indicates Blood Heat?,Blood Heat shows a deep red or crimson tongue body. May have red spots or points. The coating may be yellow or the surface may appear dry. Often seen in skin conditions.,"SP10, LI11, GV14, LR2",Xi Jiao Di Huang Tang; Qing Ying Tang,Avoid strong blood-cooling during pregnancy
What tongue indicates Qi and Blood Deficiency?,Qi and Blood deficiency shows a pale thin tongue with thin white coating. The tongue appears weak and may have slight teeth marks. The color is uniformly pale.,"ST36, SP6, BL17, BL20",Ba Zhen Tang; Shi Quan Da Bu Tang,Safe to tonify Qi and Blood during pregnancy
What tongue indicates Middle Jiao Damp-Heat?,Middle Jiao Damp-Heat shows a red tongue with thick yellow greasy coating in the center. The center corresponding to Spleen/Stomach area is most affected.,"CV12, ST44, SP9, LI11",Lian Po Yin; Gan Lu Xiao Du Dan,Use mild damp-heat clearing during pregnancy
What tongue indicates Heart Phlegm?,Heart Phlegm shows a swollen tongue particularly at the tip. The tip may be red with a thick greasy coating. May affect speech clarity. Often seen with mental confusion.,"PC6, HT7, ST40, GV26",Dao Tan Tang; An Gong Niu Huang Wan for acute,Evaluate mental status carefully during pregnancy
What tongue indicates Yin Deficiency with Empty Fire?,Yin deficiency with empty fire shows a red peeled tongue with no coating. May have cracks. The surface appears shiny and dry. Often seen with night sweats and hot flashes.,"KI3, KI6, HT6, SP6",Zhi Bai Di Huang Wan; Da Bu Yin Wan,Safe to nourish Yin during pregnancy
What tongue indicates Yang Deficiency with Water Overflow?,Yang deficiency with water overflow shows a very pale swollen tongue with excessive moisture. May have thick white slippery coating. Teeth marks are prominent.,"CV4, GV4, BL23, SP9",Zhen Wu Tang; Ji Sheng Shen Qi Wan,Use warming with care during pregnancy
What tongue indicates Liver and Spleen Disharmony?,Liver and Spleen disharmony shows a tongue with redder sides and pale center with teeth marks. The sides reflect Liver Qi while center shows Spleen deficiency.,"LR3, SP6, ST36, CV12",Xiao Yao San; Tong Xie Yao Fang,Safe harmonizing formula during pregnancy
What tongue indicates Wind-Stroke affecting tongue?,Wind-Stroke affecting the tongue shows deviation to one side when extended. The tongue may be stiff or difficult to move. May have trembling. This is an emergency sign.,"GV26, LI4, ST36, PC6",Bu Yang Huan Wu Tang for recovery,Emergency - refer immediately for evaluation
What tongue indicates Retained Food?,Retained food shows a thick greasy coating in the center. May be white or yellow depending on whether there is heat. The tongue body may appear normal or slightly swollen.,"CV12, ST25, PC6, ST36",Bao He Wan; Zhi Shi Dao Zhi Wan,Safe to resolve food stagnation during pregnancy
What tongue indicates Turbid Phlegm?,Turbid Phlegm shows a swollen tongue with very thick greasy coating that may appear dirty or turbid. The coating is difficult to scrape and may reform quickly.,"ST40, SP9, CV12, GV20",Wen Dan Tang; Di Tan Tang,May need referral for serious phlegm conditions
What tongue indicates Heat in the Blood Level?,Heat in Blood Level (Wen Bing stage) shows a deep red or crimson tongue. The surface may have purple spots. The coating may be scanty or peeled. This indicates serious condition.,"PC9, LI11, SP10, GV14",Xi Jiao Di Huang Tang; Qing Ying Tang,Serious condition - refer for medical care
What tongue indicates Rebellious Stomach Qi?,Rebellious Stomach Qi (nausea/vomiting) may show a normal tongue but often has a slightly thick coating in the center. If chronic may show Stomach Yin deficiency signs.,"PC6, CV12, ST36, SP4",Xuan Fu Dai Zhe Tang; Ban Xia Xie Xin Tang,Common during pregnancy - safe points and formulas
What tongue indicates constitutional weakness?,Constitutional weakness shows a pale thin small tongue with thin coating. The tongue body appears underdeveloped. May indicate Jing or prenatal Qi deficiency.,"KI3, GV4, ST36, CV4",Pattern dependent - often Kidney tonics,Constitutional treatment during pregnancy
What does tongue diagnosis reveal about pregnancy?,During pregnancy the tongue may show blood deficiency signs (pale) or Yin deficiency signs as fetus consumes maternal resources. Heat signs may appear in late pregnancy. Monitor coating for digestive changes.,"ST36, SP6, KI3, CV4",Ba Zhen Tang; Si Wu Tang as needed,Normal pregnancy changes versus pathological changes
What are dangerous tongue signs requiring referral?,Dangerous signs include: sudden deviation (stroke); deep purple/blue color (severe stasis or cold); black dry coating (extreme heat); very short stiff tongue; and rapid dramatic changes.,"Emergency points GV26 DU26",Emergency herbs if available,Refer immediately for medical evaluation
What tongue changes indicate treatment success?,Treatment success shows: thick coating becoming thin; color normalizing toward pink; moisture returning if dry; reduction of swelling or teeth marks; and sublingual veins becoming less distended.,"Continue current treatment approach",Maintain or adjust formula,Monitor progress regularly
What tongue indicates combined patterns?,Many patients show combined patterns - for example pale body with yellow coating indicates Yang deficiency with damp-heat. Treatment must address both patterns.,"Address multiple patterns",Combine formulas or modify,Complex patterns need careful management during pregnancy
What does the tongue reveal about emotions?,Emotional patterns affect the tongue: Liver Qi stagnation may show slightly purple sides; Heart fire from emotional stress shows red tip; worry affecting Spleen shows teeth marks.,"HT7, LR3, PC6, SP6",Xiao Yao San for Liver; Gui Pi Tang for worry,Emotional support important during pregnancy
What tongue indicates long-term prognosis?,Prognosis factors include: tongue body (constitution) changes slower than coating (current condition); deep cracks or severe color indicate chronic issues; responsiveness of tongue to treatment predicts outcomes.,"Constitutional treatment approach",Long-term formula strategy,Chronic conditions need ongoing management
What are limitations of tongue diagnosis?,Tongue can be affected by: food and drink (coffee stains coating); time of day (coating thinner in morning); mouth breathing; medications; and recent teeth brushing. Always consider these factors.,"Consider full diagnostic picture",Comprehensive assessment needed,Always combine with other diagnostic methods
How often should tongue be assessed?,For acute conditions assess daily or every treatment. For chronic conditions weekly assessment is usually sufficient. Always note changes and compare to baseline.,"Regular monitoring",Adjust treatment based on changes,Monitor more frequently during pregnancy
