question,answer,acupuncture_points,pharmacopeia
What addresses post-meal fatigue and sleepiness?,"Spleen Qi Deficiency with Dampness Accumulation. Tonify spleen, transform dampness, lift qi, restore post-meal energy.","ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-12 (Zhongwan), SP-9 (Yinlingquan), REN-6 (Qihai)",Bu Zhong Yi Qi Tang (Tonify Middle and Augment Qi)
How to treat chronic belching and hiccups?,"Stomach Qi Rebellious or Liver Qi Stagnation. Descend stomach qi, soothe liver, harmonize digestion, stop hiccups.","PC-6 (Neiguan), REN-12 (Zhongwan), ST-36 (Zusanli), LV-3 (Taichong), REN-17 (Danzhong)",Xuan Fu Dai Zhe Tang (Inula and Hematite) or Ban Xia Hou Po Tang
What helps intestinal parasites?,"Spleen Deficiency with Damp-Heat Accumulation. Expel parasites, strengthen spleen, clear heat, restore intestinal health.","ST-25 (Tianshu), ST-36 (Zusanli), LI-11 (Quchi), SP-6 (Sanyinjiao), REN-12 (Zhongwan)",Wu Mei Wan (Mume Pill) or Fei Zi Li Zhong Wan
How does TCM address lactose intolerance symptoms?,"Spleen Yang Deficiency with Dampness. Warm spleen, transform dampness, improve milk and dairy digestion.","ST-36 (Zusanli), SP-6 (Sanyinjiao), SP-9 (Yinlingquan), REN-12 (Zhongwan), BL-20 (Pishu)",Li Zhong Wan (Regulate Middle Pill) plus Shen Ling Bai Zhu San
What treats chronic abdominal pain?,"Qi and Blood Stagnation or Liver Qi Stagnation. Move qi and blood, relieve stagnation, harmonize channels, stop pain.","ST-25 (Tianshu), LV-3 (Taichong), SP-6 (Sanyinjiao), REN-6 (Qihai), PC-6 (Neiguan), local Ashi points",Shao Yao Gan Cao Tang (Peony and Licorice) plus Xiao Yao San
What acupuncture points relieve lower back pain?,"Kidney Deficiency with Cold-Damp or Qi-Blood Stagnation. Tonify kidney, expel cold, invigorate blood, open channels.","BL-23 (Shenshu), BL-40 (Weizhong), DU-4 (Mingmen), GB-30 (Huantiao), BL-25 (Dachangshu), local Ashi points",Du Huo Ji Sheng Tang (Angelica Pubescens and Loranthus)
How does TCM treat chronic knee pain from arthritis?,"Liver-Kidney Deficiency with Blood Stasis and Damp Obstruction. Strengthen liver-kidney, move blood-stasis, reduce inflammation.","ST-35 (Dubi), ST-36 (Zusanli), SP-9 (Yinlingquan), SP-10 (Xuehai), GB-34 (Yanglingquan), Xiyan (Extra)",Du Huo Ji Sheng Tang (Angelica Pubescens) modified
What helps frozen shoulder and limited mobility?,"Qi and Blood Stagnation in Shoulder Channels. Open channels, invigorate blood, move qi, restore range of motion.","LI-15 (Jianyu), LI-14 (Binao), TE-14 (Jianliao), SI-9 (Jianzhen), SI-11 (Tianzong), local Ashi points",Juan Bi Tang (Remove Painful Obstruction) plus Shu Jin Huo Xue
How to treat migraine headaches with TCM?,"Liver Yang Rising, Liver Qi Stagnation, or Blood Deficiency. Calm liver, descend yang, nourish blood, stop pain.","GB-20 (Fengchi), Taiyang (Extra), LV-3 (Taichong), LI-4 (Hegu), GB-8 (Shuaigu), DU-20 (Baihui)",Tian Ma Gou Teng Yin (Gastrodia and Uncaria) or Chuan Xiong Cha Tiao San
What addresses chronic neck and shoulder tension?,"Liver Blood Deficiency with Qi Stagnation in channels. Nourish blood, move qi, release tension, open shoulder channels.","GB-21 (Jianjing), GB-20 (Fengchi), LI-4 (Hegu), SI-3 (Houxi), BL-10 (Tianzhu), BL-11 (Dazhu)",Ge Gen Tang (Kudzu) plus Xiao Yao San (Free and Easy Wanderer)
How does TCM treat sciatica nerve pain?,"Kidney Deficiency with Cold-Damp Obstruction in channels. Tonify kidney, expel cold-damp, open sciatic pathway, relieve nerve pain.","BL-23 (Shenshu), BL-40 (Weizhong), BL-60 (Kunlun), GB-30 (Huantiao), BL-54 (Zhibian), GB-34 (Yanglingquan)",Du Huo Ji Sheng Tang (Angelica Pubescens) plus warming herbs
What helps temporomandibular joint (TMJ) pain?,"Liver-Stomach Disharmony with Qi Stagnation. Soothe liver-stomach, move qi, release jaw tension, reduce inflammation.","ST-7 (Xiaguan), ST-6 (Jiache), LI-4 (Hegu), ST-44 (Neiting), GB-20 (Fengchi), local jaw points",Qing Wei San (Clear Stomach Powder) plus Xiao Yao San
How to treat plantar fasciitis heel pain?,"Liver-Kidney Deficiency with Dampness and Qi Stagnation. Strengthen liver-kidney, resolve dampness, move qi, reduce heel inflammation.","KI-3 (Taixi), BL-60 (Kunlun), BL-62 (Shenmai), GB-40 (Qiuxu), Ashi heel points, SP-6 (Sanyinjiao)",Dang Gui Si Ni Tang (Tangkuei Frigid Extremities) modified
What addresses carpal tunnel syndrome?,"Qi-Blood Stagnation in Wrist Channels with Phlegm. Open channels, invigorate blood, resolve phlegm, reduce nerve compression.","PC-6 (Neiguan), TE-5 (Waiguan), LI-4 (Hegu), LI-10 (Shousanli), LI-11 (Quchi), local wrist points",Huang Qi Gui Zhi Wu Wu Tang (Astragalus and Cinnamon Twig)
How does TCM treat fibromyalgia widespread pain?,"Liver Qi Stagnation with Spleen Deficiency and Dampness. Soothe liver, strengthen spleen, move qi-blood, resolve widespread pain.","LI-4 (Hegu), GB-34 (Yanglingquan), ST-36 (Zusanli), SP-6 (Sanyinjiao), LV-3 (Taichong), widespread points",Shu Gan Wan (Soothe Liver Pill) plus Du Huo Ji Sheng Tang
What helps tennis elbow and repetitive strain?,"Qi-Blood Stagnation in Local Channels with Heat. Move blood, resolve stasis, clear heat, reduce tendon inflammation.","LI-11 (Quchi), LI-10 (Shousanli), TE-5 (Waiguan), LI-4 (Hegu), local elbow Ashi points",Shu Jin Huo Xue Tang (Relax Sinews Invigorate Blood)
How to treat gout and joint inflammation?,"Damp-Heat with Blood Stasis in Joints. Clear damp-heat, cool blood, move stasis, reduce uric acid and inflammation.","LI-4 (Hegu), LI-11 (Quchi), SP-10 (Xuehai), ST-36 (Zusanli), BL-17 (Geshu), affected joint",Si Miao San (Four Marvels Powder) plus Tao Hong Si Wu Tang
What addresses chronic headaches from stress?,"Liver Qi Stagnation or Liver Yang Rising from stress. Soothe liver, descend yang, move qi, relax tension, stop headache.","GB-20 (Fengchi), LV-3 (Taichong), LI-4 (Hegu), Taiyang, ST-8 (Touwei), DU-20 (Baihui)",Tian Ma Gou Teng Yin (Gastrodia and Uncaria) or Chuan Xiong Cha Tiao San
How does TCM treat post-surgical pain?,"Qi and Blood Stagnation with Trauma. Invigorate blood, move qi, reduce swelling, promote healing, manage pain.","Local area surrounding, LI-4 (Hegu), ST-36 (Zusanli), SP-10 (Xuehai), BL-17 (Geshu)",Die Da Wan (Trauma Pill) plus Tao Hong Si Wu Tang (Four Substances)
What helps menstrual cramps and pain?,"Qi and Blood Stagnation with Cold in Uterus. Warm channels, expel cold, move qi-blood, relieve menstrual pain.","SP-6 (Sanyinjiao), SP-8 (Diji), LV-3 (Taichong), REN-4 (Guanyuan), ST-29 (Guilai), SP-10 (Xuehai)",Wen Jing Tang (Warm the Menses) or Shao Fu Zhu Yu Tang
What TCM treatment helps chronic cough?,"Lung Yin Deficiency or Lung Heat with Dryness. Nourish lung yin, moisten dryness, descend lung qi, stop cough.","LU-7 (Lieque), LU-5 (Chize), LU-9 (Taiyuan), REN-17 (Danzhong), BL-13 (Feishu), ST-40 (Fenglong)",Bai He Gu Jin Tang (Lily Preserve Metal) or Yang Yin Qing Fei Tang
How does TCM treat seasonal allergies and rhinitis?,"Lung and Spleen Qi Deficiency with Wind invasion. Strengthen defensive qi, tonify lung-spleen, expel wind, reduce allergic response.","LI-20 (Yingxiang), LI-4 (Hegu), LU-7 (Lieque), ST-36 (Zusanli), Yintang, BL-13 (Feishu)",Yu Ping Feng San (Jade Windscreen) plus Bi Min Gan Wan
What helps asthma and wheezing?,"Lung-Kidney Qi Deficiency with Phlegm. Tonify lung-kidney, descend qi, resolve phlegm, stop wheezing and breathlessness.","LU-9 (Taiyuan), BL-13 (Feishu), REN-17 (Danzhong), Dingchuan (Extra), KI-3 (Taixi), REN-22 (Tiantu)",Liu Jun Zi Tang (Six Gentlemen) plus Ding Chuan Tang (Arrest Wheezing)
How to treat chronic sinusitis with TCM?,"Lung Heat with Phlegm-Dampness or Wind-Heat. Clear lung heat, resolve phlegm-dampness, open nasal passages, drain sinuses.","LI-20 (Yingxiang), Yintang, LI-4 (Hegu), ST-40 (Fenglong), BL-2 (Zanzhu), ST-2 (Sibai)",Cang Er Zi San (Xanthium Powder) plus Long Dan Xie Gan Tang
What addresses frequent colds and weak immunity?,"Lung-Spleen Qi Deficiency with Wei Qi Weakness. Tonify lung-spleen, strengthen defensive qi, prevent frequent infections.","LI-4 (Hegu), LU-7 (Lieque), ST-36 (Zusanli), BL-13 (Feishu), DU-14 (Dazhui), REN-6 (Qihai)",Yu Ping Feng San (Jade Windscreen Powder)
How does TCM treat bronchitis and chest congestion?,"Lung Heat with Phlegm or Wind-Cold invasion. Clear lung heat, resolve phlegm, descend qi, relieve chest congestion.","LU-5 (Chize), LU-1 (Zhongfu), REN-17 (Danzhong), BL-13 (Feishu), ST-40 (Fenglong), LI-11 (Quchi)",Qing Qi Hua Tan Wan (Clear Qi Transform Phlegm Pill)
What helps chronic sore throat and hoarseness?,"Lung Yin Deficiency or Lung-Kidney Yin Deficiency. Nourish lung-kidney yin, moisten throat, restore voice, stop inflammation.","LU-10 (Yuji), LU-11 (Shaoshang), KI-6 (Zhaohai), REN-23 (Lianquan), REN-22 (Tiantu)",Yang Yin Qing Fei Tang (Nourish Yin Clear Lung)
How to treat post-nasal drip?,"Phlegm-Dampness Accumulation in Upper Jiao. Transform phlegm-dampness, descend qi, open nasal passages, stop dripping.","LI-20 (Yingxiang), ST-40 (Fenglong), BL-2 (Zanzhu), LU-7 (Lieque), ST-3 (Juliao)",Cang Er Zi San (Xanthium Powder) modified
What addresses shortness of breath?,"Lung-Kidney Qi Deficiency or Heart Qi Deficiency. Tonify lung-kidney-heart qi, improve oxygen exchange, calm breathing.","LU-9 (Taiyuan), REN-17 (Danzhong), REN-6 (Qihai), BL-13 (Feishu), KI-3 (Taixi), ST-36 (Zusanli)",Sheng Mai San (Generate Pulse) plus Bu Fei Tang (Tonify Lung)
How does TCM treat hay fever symptoms?,"Lung and Spleen Qi Deficiency with Wind-Heat. Strengthen lung-spleen, expel wind-heat, reduce pollen sensitivity, stop sneezing.","LI-20 (Yingxiang), LI-4 (Hegu), LU-7 (Lieque), Yintang, ST-36 (Zusanli), BL-13 (Feishu)",Yu Ping Feng San (Jade Windscreen) plus Xin Yi San
What acupuncture points treat insomnia?,"Heart-Kidney Disharmony or Heart Blood Deficiency. Nourish heart-kidney, calm shen, harmonize yin-yang, promote sleep.","HT-7 (Shenmen), Anmian (Extra), KI-6 (Zhaohai), SP-6 (Sanyinjiao), Yintang, PC-6 (Neiguan)",Huang Lian E Jiao Tang (Coptis and Gelatin) or Tian Wang Bu Xin Dan
How does TCM address chronic fatigue syndrome?,"Spleen-Kidney Yang Deficiency with Dampness. Tonify spleen-kidney yang, transform dampness, restore vital energy.","ST-36 (Zusanli), REN-6 (Qihai), SP-6 (Sanyinjiao), KI-3 (Taixi), DU-20 (Baihui), BL-20 (Pishu)",Bu Zhong Yi Qi Tang (Tonify Middle) plus Jin Gui Shen Qi Wan
What helps difficulty falling asleep?,"Heart-Gallbladder Qi Deficiency with Phlegm. Calm shen, tonify heart-gallbladder, resolve phlegm, ease into sleep.","HT-7 (Shenmen), PC-6 (Neiguan), Yintang, ST-36 (Zusanli), GB-34 (Yanglingquan), Anmian",Suan Zao Ren Tang (Sour Jujube) or Wen Dan Tang (Warm Gallbladder)
How to treat frequent nighttime waking?,"Heart Yin Deficiency with Empty Fire. Nourish heart yin, clear empty heat, calm shen, maintain continuous sleep.","HT-7 (Shenmen), KI-6 (Zhaohai), Anmian, SP-6 (Sanyinjiao), PC-6 (Neiguan), BL-15 (Xinshu)",Suan Zao Ren Tang (Sour Jujube) plus Gui Pi Tang
What addresses daytime sleepiness despite rest?,"Spleen Qi Deficiency with Dampness causing lethargy. Tonify spleen, transform dampness, lift clear yang, restore alertness.","SP-6 (Sanyinjiao), ST-36 (Zusanli), DU-20 (Baihui), REN-6 (Qihai), SP-9 (Yinlingquan)",Bu Zhong Yi Qi Tang (Tonify Middle and Augment Qi)
How does TCM treat sleep apnea symptoms?,"Phlegm-Dampness Obstructing Airways. Resolve phlegm-dampness, open airways, improve breathing during sleep.","REN-22 (Tiantu), ST-40 (Fenglong), REN-17 (Danzhong), SP-9 (Yinlingquan), ST-36 (Zusanli)",Wen Dan Tang (Warm Gallbladder) modified
What helps restless leg syndrome at night?,"Liver Blood Deficiency with Wind in channels. Nourish liver blood, extinguish wind, calm legs, promote restful sleep.","LV-3 (Taichong), GB-34 (Yanglingquan), SP-6 (Sanyinjiao), BL-17 (Geshu), ST-36 (Zusanli)",Dang Gui Si Ni Tang (Tangkuei Frigid Extremities) plus Ba Zhen Tang
How to treat nightmares and disturbed sleep?,"Heart-Shen Disturbance with Phlegm-Fire. Calm shen, clear phlegm-fire, settle ethereal soul, reduce disturbing dreams.","HT-7 (Shenmen), PC-6 (Neiguan), Anmian, DU-24 (Shenting), LV-3 (Taichong), ST-40 (Fenglong)",Suan Zao Ren Tang (Sour Jujube) plus Chai Hu Jia Long Gu Mu Li Tang
What addresses jet lag and shift work sleep issues?,"Kidney Yin Deficiency with disrupted circadian rhythm. Nourish kidney yin, regulate yin-yang cycle, restore sleep-wake balance.","KI-3 (Taixi), KI-6 (Zhaohai), BL-62 (Shenmai), HT-7 (Shenmen), GB-20 (Fengchi)",Liu Wei Di Huang Wan (Six-Ingredient Rehmannia) modified
How does TCM treat excessive dreaming?,"Heart-Kidney Disharmony with Excess Dreaming. Connect heart-kidney, calm shen, reduce dream activity, deepen sleep quality.","HT-7 (Shenmen), KI-3 (Taixi), Anmian, PC-6 (Neiguan), SP-6 (Sanyinjiao), DU-20 (Baihui)",Tian Wang Bu Xin Dan (Emperor of Heaven Special Pill)
What TCM treatment helps anxiety and panic attacks?,"Heart-Gallbladder Qi Deficiency with Phlegm-Fire. Tonify heart-gallbladder, resolve phlegm, clear fire, calm anxiety and panic.","HT-7 (Shenmen), PC-6 (Neiguan), Yintang, ST-40 (Fenglong), GB-34 (Yanglingquan), DU-20 (Baihui)",Wen Dan Tang (Warm Gallbladder) plus Chai Hu Jia Long Gu Mu Li Tang
How does TCM address depression and low mood?,"Liver Qi Stagnation with Heart Blood Deficiency. Soothe liver, nourish heart blood, move qi, lift mood and spirit.","HT-7 (Shenmen), LV-3 (Taichong), PC-6 (Neiguan), SP-6 (Sanyinjiao), DU-20 (Baihui), ST-36 (Zusanli)","Gan Mai Da Zao Tang (Licorice, Wheat, Jujube) plus Xiao Yao San"
What helps chronic stress and burnout?,"Liver Qi Stagnation with Spleen Qi Deficiency. Soothe liver, strengthen spleen, harmonize organs, reduce stress response.","LV-3 (Taichong), GB-34 (Yanglingquan), PC-6 (Neiguan), ST-36 (Zusanli), DU-20 (Baihui), LI-4 (Hegu)",Xiao Yao San (Free and Easy Wanderer) plus Bu Zhong Yi Qi Tang
How to treat ADHD and focus problems with TCM?,"Heart-Spleen Deficiency with Phlegm Misting Orifices. Tonify heart-spleen, resolve phlegm, open orifices, improve focus and attention.","DU-20 (Baihui), HT-7 (Shenmen), ST-36 (Zusanli), Sishencong (Extra), PC-6 (Neiguan), ST-40 (Fenglong)",Gui Pi Tang (Restore Spleen) plus Kong Sheng Zhen Zhong Dan
What addresses memory loss and brain fog?,"Kidney Essence Deficiency with Heart-Spleen Deficiency. Tonify kidney essence, nourish heart-spleen, clear brain fog, restore memory.","DU-20 (Baihui), KI-3 (Taixi), HT-7 (Shenmen), ST-36 (Zusanli), GB-39 (Xuanzhong), Sishencong",Liu Wei Di Huang Wan (Six-Ingredient Rehmannia) plus Bu Nao Herbs
How does TCM treat PTSD and trauma symptoms?,"Heart-Shen Disturbance with Liver Qi Stagnation. Calm shen, soothe liver, release trauma, restore emotional balance.","HT-7 (Shenmen), PC-6 (Neiguan), LV-3 (Taichong), GB-20 (Fengchi), DU-24 (Shenting), LV-14 (Qimen)","Gan Mai Da Zao Tang (Licorice, Wheat, Jujube) plus Chai Hu Shu Gan San"
What helps seasonal affective disorder (SAD)?,"Kidney Yang Deficiency with Liver Yang Rising. Tonify kidney yang, calm liver, lift mood, regulate seasonal depression.","LV-3 (Taichong), GB-20 (Fengchi), KI-3 (Taixi), DU-20 (Baihui), ST-36 (Zusanli), HT-7 (Shenmen)",You Gui Wan (Restore Right Kidney) plus Tian Ma Gou Teng Yin
How to treat obsessive-compulsive thoughts?,"Phlegm-Fire Harassing Heart with Liver Qi Stagnation. Clear phlegm-fire, soothe liver, calm obsessive thoughts, restore mental peace.","HT-7 (Shenmen), ST-40 (Fenglong), PC-6 (Neiguan), LV-3 (Taichong), DU-20 (Baihui), LI-11 (Quchi)",Wen Dan Tang (Warm Gallbladder) modified with heavy sedating minerals
What addresses irritability and mood swings?,"Liver Qi Stagnation transforming to Liver Fire. Soothe liver, clear fire, descend yang, regulate emotions, reduce anger.","LV-3 (Taichong), LV-2 (Xingjian), GB-34 (Yanglingquan), PC-6 (Neiguan), LI-4 (Hegu), GB-20 (Fengchi)",Xiao Yao San (Free and Easy Wanderer) or Long Dan Xie Gan Tang
How does TCM treat grief and emotional pain?,"Heart-Shen Injury with Liver Qi Stagnation. Nourish heart, soothe liver, process grief, restore emotional flow.","HT-7 (Shenmen), PC-6 (Neiguan), LV-3 (Taichong), LV-14 (Qimen), REN-17 (Danzhong), SP-6 (Sanyinjiao)","Gan Mai Da Zao Tang (Licorice, Wheat, Jujube)"
What acupuncture treats irregular menstrual cycles?,"Liver Qi Stagnation with Blood Deficiency. Soothe liver, nourish blood, regulate qi-blood flow, restore regular cycles.","LV-3 (Taichong), SP-6 (Sanyinjiao), REN-4 (Guanyuan), ST-36 (Zusanli), LV-14 (Qimen), SP-10 (Xuehai)",Xiao Yao San (Free and Easy Wanderer) plus Si Wu Tang
How does TCM address heavy menstrual bleeding?,"Spleen Qi Deficiency with Blood Heat. Tonify spleen qi, cool blood, strengthen holding function, reduce excessive bleeding.","SP-1 (Yinbai), SP-6 (Sanyinjiao), ST-36 (Zusanli), LV-2 (Xingjian), SP-10 (Xuehai), REN-4 (Guanyuan)",Gu Chong Tang (Stabilize Gushing) or Qing Re Gu Jing Tang
What helps menopausal hot flashes and night sweats?,"Kidney Yin Deficiency with Empty Heat. Nourish kidney yin, clear empty heat, cool blood, reduce hot flashes and sweating.","KI-3 (Taixi), KI-6 (Zhaohai), SP-6 (Sanyinjiao), HT-6 (Yinxi), KI-7 (Fuliu), LV-2 (Xingjian)","Zhi Bai Di Huang Wan (Anemarrhena, Phellodendron, Rehmannia)"
How to treat premenstrual syndrome (PMS)?,"Liver Qi Stagnation with Spleen Deficiency. Soothe liver, strengthen spleen, harmonize organs, relieve PMS symptoms.","LV-3 (Taichong), LV-14 (Qimen), PC-6 (Neiguan), SP-6 (Sanyinjiao), ST-36 (Zusanli), REN-6 (Qihai)",Xiao Yao San (Free and Easy Wanderer)
What addresses polycystic ovary syndrome (PCOS)?,"Phlegm-Dampness with Kidney Yang Deficiency. Transform phlegm-damp, tonify kidney yang, regulate ovulation, restore hormonal balance.","ST-40 (Fenglong), SP-9 (Yinlingquan), REN-4 (Guanyuan), SP-6 (Sanyinjiao), ST-36 (Zusanli), KI-3 (Taixi)",Cang Fu Dao Tan Wan (Atractylodes and Cyperus Guide Out Phlegm)
How does TCM treat endometriosis pain?,"Blood Stasis with Qi Stagnation in Uterus. Move blood-stasis, regulate qi, reduce pain, open pelvic channels.","SP-6 (Sanyinjiao), SP-8 (Diji), SP-10 (Xuehai), LV-3 (Taichong), REN-3 (Zhongji), ST-29 (Guilai)",Ge Xia Zhu Yu Tang (Drive Out Stasis Below Diaphragm)
What helps infertility and conception challenges?,"Kidney Essence Deficiency with Liver Qi Stagnation. Tonify kidney essence, soothe liver, nourish blood, support conception.","REN-4 (Guanyuan), REN-3 (Zhongji), SP-6 (Sanyinjiao), KI-3 (Taixi), ST-36 (Zusanli), Zigong (Extra)",Wu Zi Yan Zong Wan (Five-Seed Progeny) plus Ba Zhen Tang
How to treat menopausal insomnia and irritability?,"Heart-Kidney Disharmony with Liver Qi Stagnation. Connect heart-kidney, soothe liver, calm shen, improve menopausal sleep.","HT-7 (Shenmen), PC-6 (Neiguan), KI-3 (Taixi), SP-6 (Sanyinjiao), LV-3 (Taichong), Yintang",Tian Wang Bu Xin Dan (Emperor of Heaven) plus Xiao Yao San
What addresses vaginal dryness after menopause?,"Kidney and Lung Yin Deficiency. Nourish kidney-lung yin, generate fluids, moisten tissues, restore vaginal moisture.","KI-3 (Taixi), REN-4 (Guanyuan), SP-6 (Sanyinjiao), KI-13 (Qixue), LV-8 (Ququan), KI-6 (Zhaohai)",Zuo Gui Wan (Restore Left Kidney) or Liu Wei Di Huang Wan
How does TCM treat uterine fibroids?,"Qi and Blood Stagnation with Phlegm Accumulation. Move qi-blood, resolve phlegm, soften masses, reduce fibroid size.","SP-6 (Sanyinjiao), SP-9 (Yinlingquan), ST-29 (Guilai), LV-5 (Ligou), REN-4 (Guanyuan), ST-40 (Fenglong)",Gui Zhi Fu Ling Wan (Cinnamon and Poria) plus Xiao Yao San
What helps postpartum depression?,"Heart-Spleen Deficiency with Liver Qi Stagnation. Tonify heart-spleen, soothe liver, lift mood, restore postpartum balance.","HT-7 (Shenmen), PC-6 (Neiguan), SP-6 (Sanyinjiao), LV-3 (Taichong), ST-36 (Zusanli), REN-17 (Danzhong)","Gan Mai Da Zao Tang (Licorice, Wheat, Jujube) plus Gui Pi Tang"
How to treat morning sickness during pregnancy?,"Stomach Qi Rebellious with Liver Qi Stagnation. Descend stomach qi, soothe liver, harmonize middle jiao, stop nausea.","PC-6 (Neiguan), ST-36 (Zusanli), REN-12 (Zhongwan), SP-4 (Gongsun), LV-3 (Taichong), PC-8 (Laogong)",Xiao Ban Xia Tang (Minor Pinellia) plus Xiang Sha Liu Jun Zi Tang
What TCM treatment helps erectile dysfunction?,"Kidney Yang Deficiency with Liver Qi Stagnation. Tonify kidney yang, soothe liver, move qi, restore erectile function.","REN-4 (Guanyuan), DU-4 (Mingmen), KI-3 (Taixi), BL-23 (Shenshu), ST-36 (Zusanli), LV-3 (Taichong)",You Gui Wan (Restore Right Kidney) plus Gui Zhi Fu Ling Wan
How does TCM address prostate enlargement (BPH)?,"Kidney Qi Deficiency with Damp-Heat in Lower Jiao. Tonify kidney qi, clear damp-heat, reduce prostate swelling, improve urination.","BL-28 (Pangguangshu), REN-3 (Zhongji), SP-6 (Sanyinjiao), SP-9 (Yinlingquan), KI-3 (Taixi), ST-36 (Zusanli)",Ba Zheng San (Eight-Herb Powder) modified plus Liu Wei Di Huang Wan
What helps low libido and sexual dysfunction?,"Kidney Essence and Yang Deficiency. Tonify kidney essence and yang, warm ming men fire, restore libido and vitality.","KI-3 (Taixi), REN-4 (Guanyuan), DU-4 (Mingmen), BL-23 (Shenshu), BL-52 (Zhishi), ST-36 (Zusanli)",Wu Zi Yan Zong Wan (Five-Seed Progeny Pill)
How to treat premature ejaculation?,"Heart-Kidney Yang Deficiency with Damp-Heat. Tonify heart-kidney yang, calm shen, clear damp-heat, improve control.","HT-7 (Shenmen), KI-3 (Taixi), REN-4 (Guanyuan), SP-6 (Sanyinjiao), BL-23 (Shenshu), PC-6 (Neiguan)",Jin Suo Gu Jing Wan (Metal Lock Consolidate Essence)
What addresses chronic prostatitis?,"Damp-Heat and Blood Stasis in Lower Jiao. Clear damp-heat, move blood stasis, reduce inflammation, relieve prostate pain.","REN-3 (Zhongji), SP-9 (Yinlingquan), SP-6 (Sanyinjiao), LV-5 (Ligou), BL-33 (Zhongliao), LI-11 (Quchi)",Long Dan Xie Gan Tang (Gentian Drain Liver) modified
