Condition / Diagnosis,Treatment Principle,Primary Acupuncture Points,Treatment Frequency & Duration,Herbal Pharmacopeia Formula,Relevant Body Parts / Figures,Clinical Recommendations & Notes
Sciatica,"Move Qi and Blood in channels, Relax muscles, Tonify Kidney","BL40, BL60, GB30, GB34, GB39, BL23, BL25, local Ashi",2-3x per week for 8-10 weeks,Du Huo Ji Sheng Tang (独活寄生汤),"Back & Spine (Back View), Leg (Back View), Leg & Thigh (Front View)",Combine with cupping on Bladder meridian. Avoid aggravating positions. Teach stretches.
Ankle Sprain,"Move Blood, Reduce swelling, Promote healing","BL60, KI3, GB40, ST41, local Ashi points, SP6",Acute: daily for 5-7 days; Chronic: 2x per week for 4 weeks,Die Da Wan (跌打丸) - topical and internal,"Leg (Back View), Leg (Inner View - SP/KI/LV), Foot (Sole/Bottom View)",Ice and elevate first 48 hours. Needle distal points initially. Add moxa once acute phase passes.
Jaw Pain (TMJ),"Relax local muscles, Move Qi, Clear Stomach Heat if present","ST6, ST7, SI18, SI19, LI4, ST44, GB20",2x per week for 6-8 weeks,Xiao Yao San (逍遥散) if stress-related; Qing Wei San (清胃散) if Heat,"Head & Face (Front View), Head & Neck (Side View)",Gentle needling around jaw. Teach jaw relaxation exercises. Consider stress management.
Rib-Side Pain (Liver Qi Stagnation),"Soothe Liver, Move Qi, Harmonize Shao Yang","LV14, LV3, GB34, GB41, PC6, SJ6",1-2x per week for 6-8 weeks,Xiao Yao San (逍遥散) or Chai Hu Shu Gan San (柴胡疏肝散),"Chest & Upper Abdomen (Front), Leg (Inner View - SP/KI/LV), Arm (Yang Meridians / Outer View)",Avoid deep needling in rib area. Focus on distal points. Address emotional factors.
Plantar Fasciitis,"Move local Qi and Blood, Relax tendons, Tonify Kidney","KI3, BL60, KI1, local Ashi points, GB34, BL40",2-3x per week for 8-10 weeks,Du Huo Ji Sheng Tang (独活寄生汤),"Foot (Sole/Bottom View), Leg (Back View), Leg (Inner View - SP/KI/LV)","Needle around heel, not into inflamed fascia. Use moxa on KI3. Recommend supportive footwear."
Fibromyalgia,"Tonify Qi and Blood, Move circulation, Calm Shen","ST36, SP6, LI4, GV20, HT7, PC6, tender Ashi points",2x per week for 12+ weeks,Gui Pi Tang (归脾汤) or Bu Zhong Yi Qi Tang (补中益气汤),Master Template (Full Body Fallback),Gentle needling. Map and treat tender points rotationally. Emphasize lifestyle and stress management.
Neuropathy (Peripheral),"Nourish Blood, Move Qi, Open channels, Tonify Liver-Kidney","ST36, SP6, LV3, GB34, BL17, BL18, KI3, local points",2-3x per week for 12+ weeks,Si Wu Tang (四物汤) + modifications,"Leg & Thigh (Front View), Leg (Inner View - SP/KI/LV), Arm (Yin Meridians / Inner View)","Patient, consistent treatment. May require electro-stimulation. Monitor for medical causes."
Post-Surgical Pain,"Move Blood, Reduce swelling, Promote healing, Manage pain","Local Ashi points around scar, LI4, SP10, GB34, ST36",2-3x per week starting 2 weeks post-op for 6-8 weeks,Xue Fu Zhu Yu Tang (血府逐瘀汤) once cleared by surgeon,Area-specific per surgery location,Coordinate with surgeon. Avoid direct needling of surgical site initially. Use distal points first.
Arthritis (Osteoarthritis),"Move Qi and Blood, Nourish Liver-Kidney, Dispel Wind-Damp","Local joint points, ST36, SP6, GB34, BL23, KI3",1-2x per week for maintenance long-term,Du Huo Ji Sheng Tang (独活寄生汤),Specific to affected joints,Manage expectations - symptom management not cure. Use moxa for cold-type. Gentle exercise important.
Trigeminal Neuralgia,"Move Qi and Blood, Extinguish Wind, Stop pain","ST6, ST7, LI4, ST36, GB20, branch-specific points",Acute: 3x per week for 4 weeks; Maintenance: weekly,Xiao Feng San (消风散) + modifications,"Head & Face (Front View), Head & Neck (Side View)",Very gentle needling away from trigger zones. May require medication coordination. Stress management crucial.
IBS - Liver Invading Spleen,"Soothe Liver, Strengthen Spleen, Harmonize intestines","ST25, ST36, SP6, LV3, LV14, PC6, CV12",1-2x per week for 8-12 weeks,Tong Xie Yao Fang (痛泻要方) or Xiao Yao San (逍遥散),"Chest & Upper Abdomen (Front), Leg (Inner View - SP/KI/LV)",Address stress/emotional factors. Dietary counseling essential. Combine with lifestyle modification.
Chronic Constipation - Heat,"Clear Heat, Moisten intestines, Promote bowel movement","ST25, ST37, SJ6, LI11, ST44, SP15",2x per week for 6-8 weeks,Ma Zi Ren Wan (麻子仁丸),"Chest & Upper Abdomen (Front), Leg & Thigh (Front View)",Increase fiber and water intake. Avoid excessive Heat-clearing if elderly or deficient.
Chronic Constipation - Qi Deficiency,"Tonify Qi, Strengthen Spleen, Promote peristalsis","ST36, CV12, CV6, ST25, BL20, BL21",2x per week for 8-10 weeks,Bu Zhong Yi Qi Tang (补中益气汤),"Chest & Upper Abdomen (Front), Back & Spine (Back View)",Add moxa to CV6. Emphasize gentle exercise. Dietary support for Spleen Qi.
GERD (Acid Reflux),"Harmonize Stomach, Descend rebellious Qi, Clear Heat","CV12, ST36, PC6, CV17, ST21, BL21",2x per week for 6-8 weeks,Ban Xia Xie Xin Tang (半夏泻心汤) or Zuo Jin Wan (左金丸),"Chest & Upper Abdomen (Front), Arm (Yin Meridians / Inner View)","Lifestyle changes crucial: no late eating, elevate head, reduce stress. Coordinate with medical care."
Nausea/Vomiting - Stomach Qi Rebellion,"Harmonize Stomach, Descend Qi, Stop nausea","PC6, CV12, ST36, SP4, CV17",As needed for acute; 2x per week for chronic,Xiao Ban Xia Tang (小半夏汤) or Xuan Fu Dai Zhe Tang (旋覆代赭汤),"Arm (Yin Meridians / Inner View), Chest & Upper Abdomen (Front)",PC6 very effective for acute nausea. Consider wrist bands for ongoing support. Rule out serious causes.
Bloating - Spleen Qi Deficiency with Dampness,"Tonify Spleen, Resolve Dampness, Move Qi","ST36, SP6, SP9, CV12, ST25, BL20, PC6",2x per week for 8 weeks,Shen Ling Bai Zhu San (参苓白术散),"Chest & Upper Abdomen (Front), Leg (Inner View - SP/KI/LV)","Dietary changes key: warm, cooked foods. Avoid raw, cold, greasy. Add moxa to CV12, ST36."
Chronic Diarrhea - Spleen Yang Deficiency,"Warm and Tonify Spleen Yang, Stop diarrhea, Strengthen digestion","ST36, SP6, CV12, CV6, BL20, BL25, ST25 (all with moxa)",2-3x per week for 8-10 weeks,Fu Zi Li Zhong Wan (附子理中丸) or Si Shen Wan (四神丸),"Chest & Upper Abdomen (Front), Back & Spine (Back View), Leg (Inner View - SP/KI/LV)",Heavy moxa essential. Avoid cold foods/drinks. Rule out infection. May require prolonged treatment.
Crohns Disease Support,"Tonify Spleen-Kidney, Move Blood, Reduce inflammation","ST36, SP6, ST25, ST37, CV12, CV6, BL20, BL23",1-2x per week for ongoing support,Herbs individualized; commonly: Si Jun Zi Tang (四君子汤) + modifications,"Chest & Upper Abdomen (Front), Back & Spine (Back View)","Supportive care only, not curative. Coordinate with gastroenterologist. Focus on symptom management."
Ulcerative Colitis Support,"Clear Damp-Heat, Cool Blood, Tonify Spleen, Stop bleeding if present","ST25, ST37, SP6, SP10, LI11, ST36, CV12",1-2x per week for ongoing support,Bai Tou Weng Tang (白头翁汤) for active; tonifying formulas for remission,"Chest & Upper Abdomen (Front), Leg (Inner View - SP/KI/LV)",Medical coordination essential. Address in remission periods. Stress management important.
Loss of Appetite - Spleen Qi Deficiency,"Tonify Spleen Qi, Harmonize Stomach, Increase appetite","ST36, CV12, PC6, SP6, BL20, BL21",2x per week for 6-8 weeks,Si Jun Zi Tang (四君子汤) or Xiang Sha Liu Jun Zi Tang (香砂六君子汤),"Chest & Upper Abdomen (Front), Back & Spine (Back View)",Small frequent meals. Warm cooked foods. Address underlying causes. May need moxa.
Food Stagnation,"Promote digestion, Move Qi, Resolve accumulation","CV12, ST36, PC6, ST25, ST44",As needed for acute episodes,Bao He Wan (保和丸),"Chest & Upper Abdomen (Front), Leg & Thigh (Front View)",Light diet for 24-48 hours. Avoid overeating. Teach mindful eating practices.
Gastritis - Stomach Yin Deficiency,"Nourish Stomach Yin, Clear deficiency Heat, Harmonize","CV12, ST36, SP6, KI3, PC6, BL21",2x per week for 8-10 weeks,Yi Wei Tang (益胃汤) or Mai Men Dong Tang (麦门冬汤),"Chest & Upper Abdomen (Front), Leg (Inner View - SP/KI/LV)","Cooling, moistening foods. Avoid spicy, fried, alcohol. Stress reduction. Medical coordination if H. pylori."
Peptic Ulcer Support,"Harmonize Stomach, Clear Heat, Move Qi, Stop pain","CV12, ST36, PC6, SP4, CV10, BL21",2x per week as adjunct to medical treatment,Under medical supervision; commonly: Huang Qi Jian Zhong Tang (黄芪建中汤),"Chest & Upper Abdomen (Front), Arm (Yin Meridians / Inner View)",Medical coordination mandatory. Avoid NSAIDs. Stress management. Dietary modifications.
Hemorrhoids,"Clear Damp-Heat, Move Blood, Stop bleeding, Tonify Spleen","GV1, BL57, SP6, SP10, ST25, LI11, GV20",2x per week for 4-6 weeks,Huai Hua San (槐花散) + topical formulas,"Leg (Back View), Leg (Inner View - SP/KI/LV)","Increase fiber, water. Sitz baths. Avoid prolonged sitting. GV1 can be needled with patient in knee-chest position."
Hiccups - Rebellious Stomach Qi,"Harmonize Stomach, Descend Qi, Stop hiccups","CV12, PC6, CV17, BL17, ST36",As needed for acute; 2x per week if chronic,Ding Xiang Shi Di Tang (丁香柿蒂汤),"Chest & Upper Abdomen (Front), Arm (Yin Meridians / Inner View)","PC6 often very effective. For intractable hiccups, consider medical evaluation."
Asthma - Kidney Not Grasping Qi,"Tonify Kidney, Grasp Qi, Descend Lung Qi","BL13, BL23, CV17, LU7, LU1, KI3, CV6, DingChuan (EX-B1)",Prevention: 2x per week for 12+ weeks; Acute: coordinate with medical care,Su Zi Jiang Qi Tang (苏子降气汤) or Jin Gui Shen Qi Wan (金匮肾气丸),"Back & Spine (Back View), Chest & Upper Abdomen (Front), Leg (Inner View - SP/KI/LV)","Preventive treatment between attacks. Acute asthma requires medical care. Apply moxa to BL23, CV6. Avoid triggers."
Chronic Cough - Lung Yin Deficiency,"Nourish Lung Yin, Moisten Dryness, Stop cough","LU5, LU7, LU9, KI3, KI6, CV17, BL13",2x per week for 8-10 weeks,Bai He Gu Jin Tang (百合固金汤) or Sha Shen Mai Men Dong Tang (沙参麦门冬汤),"Arm (Yin Meridians / Inner View), Chest & Upper Abdomen (Front), Back & Spine (Back View)","Moistening diet: pears, honey, avoid spicy/dry foods. Rule out serious pathology. May take weeks to resolve."
Common Cold - Wind-Cold,"Release exterior, Expel Wind-Cold, Warm lungs","LU7, LI4, GB20, BL12, GV14",Daily for 3-5 days at onset,Gui Zhi Tang (桂枝汤) or Ma Huang Tang (麻黄汤) if severe,"Head & Neck (Side View), Arm (Yin Meridians / Inner View), Back & Spine (Back View)",Treat at first sign. Keep warm. Rest. Hot ginger tea. Cupping on upper back effective.
Common Cold - Wind-Heat,"Release exterior, Clear Heat, Expel Wind","LI4, LU11, LI11, GV14, GB20, LU7",Daily for 3-5 days,Yin Qiao San (银翘散) or Sang Ju Yin (桑菊饮),"Head & Neck (Side View), Arm (Yang Meridians / Outer View), Back & Spine (Back View)",Light diet. Avoid warming foods/spices. Rest. Peppermint tea. LU11 bleed technique if sore throat.
Chronic Bronchitis,"Resolve Phlegm, Strengthen Lung and Spleen, Stop cough","BL13, ST40, CV17, LU5, LU1, ST36, SP6, CV22",2x per week for 12+ weeks,Er Chen Tang (二陈汤) + modifications based on pattern,"Back & Spine (Back View), Chest & Upper Abdomen (Front), Leg & Thigh (Front View)",Smoking cessation essential. Avoid cold/damp exposure. Breathing exercises. May need prolonged treatment.
Allergic Rhinitis,"Release exterior, Dispel Wind, Strengthen Wei Qi, Clear nose","LI20, Yintang (EX-HN3), Bitong (EX-HN8), LI4, LU7, ST36, GV23",Acute: 2-3x per week during flare; Preventive: weekly for 8-12 weeks before season,Yu Ping Feng San (玉屏风散) for prevention; Cang Er Zi San (苍耳子散) acute,"Head & Face (Front View), Arm (Yang Meridians / Outer View)",Start preventive treatment 6-8 weeks before allergy season. Avoid triggers. Consider dietary changes.
Sinusitis - Damp-Heat,"Clear Heat, Resolve Dampness, Open orifices","LI20, Bitong (EX-HN8), Yintang (EX-HN3), LI4, ST40, LI11",2-3x per week for 4-6 weeks,Cang Er Zi San (苍耳子散) + modifications,"Head & Face (Front View), Arm (Yang Meridians / Outer View)",Steam inhalation. Avoid dairy. Rule out bacterial infection needing antibiotics. Nasal irrigation helpful.
Shortness of Breath - Lung Qi Deficiency,"Tonify Lung Qi, Strengthen respiration, Tonify Kidney","BL13, LU9, CV17, ST36, KI3, CV6, BL23",2x per week for 10-12 weeks,Bu Fei Tang (补肺汤) or Yu Ping Feng San (玉屏风散),"Back & Spine (Back View), Chest & Upper Abdomen (Front), Leg (Inner View - SP/KI/LV)","Rule out serious cardiopulmonary disease. Breathing exercises. Gentle exercise. Moxa to CV6, BL13."
COPD Support,"Tonify Lung and Kidney, Resolve Phlegm, Support breathing","BL13, BL23, CV17, LU1, ST40, ST36, KI3, DingChuan (EX-B1)",1-2x per week for long-term support,Bu Fei Tang (补肺汤) + individualized modifications,"Back & Spine (Back View), Chest & Upper Abdomen (Front)",Supportive care only. Medical management essential. Pulmonary rehabilitation. Smoking cessation. Breathing techniques.
Loss of Voice (Aphonia),"Nourish Lung Yin, Open throat, Benefit voice","LU7, LU10, KI6, CV22, CV23, LI4",2-3x per week for 2-4 weeks,Yang Yin Qing Fei Tang (养阴清肺汤),"Arm (Yin Meridians / Inner View), Chest & Upper Abdomen (Front)",Voice rest essential. Warm water. Avoid whispering (strains more). Rule out structural pathology. Humidify air.
Hypertension - Liver Yang Rising,"Subdue Liver Yang, Nourish Liver Yin, Calm Spirit","LV3, GB20, LI4, KI3, GV20, LV2, ST36",2x per week for 12+ weeks as adjunct to medication,Tian Ma Gou Teng Yin (天麻钩藤饮),"Head & Neck (Side View), Leg (Inner View - SP/KI/LV)","Monitor BP closely. Medication adjustment with MD only. Lifestyle: reduce salt, stress management, exercise."
Palpitations - Heart Qi/Blood Deficiency,"Tonify Heart Qi and Blood, Calm Shen","HT7, PC6, BL15, ST36, SP6, CV17, CV14",2x per week for 8-10 weeks,Gui Pi Tang (归脾汤) or Zhi Gan Cao Tang (炙甘草汤),"Arm (Yin Meridians / Inner View), Chest & Upper Abdomen (Front), Back & Spine (Back View)",Rule out arrhythmia requiring medical care. Reduce caffeine/stimulants. Sleep hygiene. Stress reduction.
Arrhythmia Support,"Regulate Heart Qi, Calm Shen, Harmonize rhythm","HT7, PC6, BL15, CV17, ST36, SP6",1-2x per week as adjunct to medical management,Individualized; commonly: Zhi Gan Cao Tang (炙甘草汤),"Arm (Yin Meridians / Inner View), Chest & Upper Abdomen (Front)",Medical management essential. Acupuncture as supportive only. Monitor for adverse events. Stress management key.
Poor Circulation - Qi and Blood Stagnation,"Move Qi and Blood, Warm channels, Invigorate circulation","SP10, SP6, LV3, ST36, PC6, local area points",2x per week for 8-12 weeks,Dang Gui Si Ni Tang (当归四逆汤) or Xue Fu Zhu Yu Tang (血府逐瘀汤),"Leg (Inner View - SP/KI/LV), Arm (Yin Meridians / Inner View), Hand (Palm View)",Exercise crucial. Avoid smoking. Warm clothing in cold. Consider compression if venous insufficiency.
Raynauds Phenomenon,"Warm Yang, Move Qi and Blood, Open channels","ST36, SP6, LI4, KI3, CV4, local hand/foot points",2x per week for 8-12 weeks with moxa,Dang Gui Si Ni Tang (当归四逆汤),"Hand (Palm View), Foot (Sole/Bottom View), Arm (Yin Meridians / Inner View)",Heavy moxa to affected areas and CV4. Avoid cold exposure. Stress management. Rule out autoimmune causes.
Varicose Veins,"Invigorate Blood, Strengthen Spleen, Resolve stasis","SP10, SP6, SP9, ST36, local points along varicosities, BL40",1-2x per week for 8-12 weeks,Xue Fu Zhu Yu Tang (血府逐瘀汤) + Bu Yang Huan Wu Tang (补阳还五汤),"Leg & Thigh (Front View), Leg (Inner View - SP/KI/LV), Leg (Back View)",Compression stockings. Elevate legs. Exercise. Weight management. Avoid prolonged standing. Needle carefully around veins.
Chest Tightness/Angina Support,"Move Qi, Invigorate Blood, Open chest, Calm Shen","PC6, CV17, HT7, BL15, BL17, ST36",Only as adjunct to medical management,Under medical supervision; often: Gua Lou Xie Bai Ban Xia Tang (瓜蒌薤白半夏汤),"Chest & Upper Abdomen (Front), Arm (Yin Meridians / Inner View), Back & Spine (Back View)",Medical coordination mandatory. Emergency protocols in place. Monitor closely. Not primary treatment for angina.
Chronic Venous Insufficiency,"Move Blood, Resolve stasis, Tonify Spleen, Reduce swelling","SP9, SP6, ST36, SP10, BL40, local edema points",2x per week for 12+ weeks,Bu Yang Huan Wu Tang (补阳还五汤),"Leg & Thigh (Front View), Leg (Inner View - SP/KI/LV), Leg (Back View)",Compression essential. Elevate legs. Exercise. Skin care to prevent ulcers. May require long-term treatment.
Insomnia - Heart-Spleen Disharmony,"Tonify Heart and Spleen, Nourish Blood, Calm Shen","HT7, SP6, ST36, Anmian (EX-HN22), BL15, BL20, PC6",2x per week for 8-12 weeks,Gui Pi Tang (归脾汤),"Arm (Yin Meridians / Inner View), Head & Neck (Side View), Leg (Inner View - SP/KI/LV)",Sleep hygiene essential. Regular schedule. Avoid screens before bed. Relaxation techniques. May need 8-12 weeks.
Insomnia - Liver Qi Stagnation,"Soothe Liver, Move Qi, Calm Shen","LV3, LV14, GB34, HT7, PC6, Anmian (EX-HN22), Yintang (EX-HN3)",1-2x per week for 8-10 weeks,Xiao Yao San (逍遥散) or Chai Hu Jia Long Gu Mu Li Tang (柴胡加龙骨牡蛎汤),"Head & Face (Front View), Leg (Inner View - SP/KI/LV), Arm (Yin Meridians / Inner View)",Address emotional stressors. Stress management techniques. Regular exercise. Limit caffeine/alcohol.
Anxiety - Heart Qi Deficiency,"Tonify Heart Qi, Calm Shen, Anchor Yang","HT7, PC6, CV17, GV20, Yintang (EX-HN3), ST36, SP6",2x per week for 10-12 weeks,Tian Wang Bu Xin Dan (天王补心丹) or Suan Zao Ren Tang (酸枣仁汤),"Arm (Yin Meridians / Inner View), Chest & Upper Abdomen (Front), Head & Face (Front View)",Breathing exercises. Mindfulness. Regular schedule. Avoid excessive caffeine. May combine with counseling.
Depression - Liver Qi Stagnation,"Soothe Liver, Move Qi, Uplift Spirit","LV3, LV14, PC6, GB34, CV17, GV20, Yintang (EX-HN3)",2x per week for 12+ weeks,Xiao Yao San (逍遥散),"Leg (Inner View - SP/KI/LV), Chest & Upper Abdomen (Front), Head & Face (Front View)",Screen for safety. May need psychiatric referral. Exercise important. Social support. Sunlight exposure. Combined approach best.
Depression - Heart-Spleen Deficiency,"Tonify Heart and Spleen, Nourish Blood, Calm Shen","HT7, ST36, SP6, BL15, BL20, CV17, GV20",2x per week for 12+ weeks,Gui Pi Tang (归脾汤),"Arm (Yin Meridians / Inner View), Leg (Inner View - SP/KI/LV), Back & Spine (Back View)",Address nutrition. Regular meals. Gentle exercise. Social activities. May need antidepressants - coordinate care.
Panic Attacks,"Calm Shen, Anchor Yang, Regulate Heart","HT7, PC6, CV17, GV20, KI1, Yintang (EX-HN3)",2x per week preventive; teach self-care points for acute,Tian Wang Bu Xin Dan (天王补心丹),"Arm (Yin Meridians / Inner View), Chest & Upper Abdomen (Front), Head & Face (Front View)",Breathing techniques crucial. Cognitive behavioral therapy. Avoid triggers if possible. PC6 self-acupressure for acute.
PTSD Support,"Calm Shen, Anchor Spirit, Regulate Qi and Blood","HT7, PC6, CV17, GV20, Yintang (EX-HN3), Sishencong (EX-HN1)",1-2x per week as adjunct to trauma therapy,Individualized based on presentation,"Arm (Yin Meridians / Inner View), Head & Face (Front View), Chest & Upper Abdomen (Front)",Trauma-informed approach. Coordination with mental health professionals. Safety first. Patient control important.
Stress Management,"Regulate Qi, Calm Shen, Harmonize Liver","LV3, PC6, HT7, GV20, GB21, Yintang (EX-HN3)",1x per week for ongoing maintenance,Xiao Yao San (逍遥散) if needed,"Head & Face (Front View), Leg (Inner View - SP/KI/LV), Arm (Yin Meridians / Inner View)",Lifestyle modifications. Exercise. Meditation. Time management. Work-life balance. Sleep hygiene.
Poor Memory/Brain Fog,"Tonify Heart and Kidney, Nourish marrow, Clear Phlegm if present","GV20, Sishencong (EX-HN1), HT7, KI3, ST36, ST40",2x per week for 10-12 weeks,Gui Pi Tang (归脾汤) or Bu Nao Wan (补脑丸),"Head & Face (Front View), Leg (Inner View - SP/KI/LV)",Rule out serious causes. Mental exercises. Physical exercise. Good sleep. Nutrition. Social engagement.
Grief/Sadness - Lung Qi Deficiency,"Tonify Lung Qi, Open chest, Support Wei Qi and Po","LU1, LU7, LU9, CV17, BL13, HT7, PC6",1-2x per week for 8-12 weeks,Gan Mai Da Zao Tang (甘麦大枣汤),"Chest & Upper Abdomen (Front), Arm (Yin Meridians / Inner View), Back & Spine (Back View)",Normal grieving process respected. Support groups. Counseling if complicated grief. Physical activity. Breathing exercises.
"Addiction Support (Smoking, etc.)","Calm Shen, Reduce cravings, Support willpower, Detoxify","Ear Shenmen, Sympathetic, Lung points; HT7, PC6, LI4, ST36",2-3x per week during cessation; then weekly for 8-12 weeks,Individualized; may include calming formulas,"Auricular / Ear, Arm (Yin Meridians / Inner View)",Part of comprehensive program. Behavioral support essential. Address triggers. Nicotine replacement if appropriate. Auricular seeds between sessions.
OCD Support,"Soothe Liver, Calm Shen, Resolve Phlegm obstructing Heart","HT7, PC6, LV3, ST40, CV17, GV20, Yintang (EX-HN3)",2x per week as adjunct to behavioral therapy,Wen Dan Tang (温胆汤) + modifications,"Arm (Yin Meridians / Inner View), Head & Face (Front View), Leg (Inner View - SP/KI/LV)",Cognitive behavioral therapy essential. Medication may be needed. Acupuncture supportive. Stress reduction.
PMS - Liver Qi Stagnation,"Soothe Liver, Move Qi, Regulate menstruation","LV3, LV14, PC6, SP6, GB34, CV6","Weekly throughout cycle, increase to 2x per week in luteal phase",Xiao Yao San (逍遥散),"Leg (Inner View - SP/KI/LV), Chest & Upper Abdomen (Front), Arm (Yin Meridians / Inner View)",Start treatment 7-10 days before period. Stress management. Regular exercise. Dietary adjustments.
Dysmenorrhea - Cold Stagnation,"Warm meridians, Move Blood, Stop pain","CV4, SP6, SP8, ST29, LV3, BL32 (with moxa)",2x per week in week before period; daily during menstruation if needed,Wen Jing Tang (温经汤) or Shao Fu Zhu Yu Tang (少腹逐瘀汤),"Chest & Upper Abdomen (Front), Leg (Inner View - SP/KI/LV), Back & Spine (Back View)",Heavy moxa to lower abdomen. Heat pad. Avoid cold foods/drinks. Start preventive treatment before period.
Irregular Menstruation - Liver Qi Stagnation,"Soothe Liver, Move Qi, Regulate cycle","LV3, SP6, CV4, ST29, PC6, LV14",1-2x per week for 3-6 months,Xiao Yao San (逍遥散),"Leg (Inner View - SP/KI/LV), Chest & Upper Abdomen (Front)",Track cycles. Stress management. Regular sleep schedule. May take 3-6 cycles to regulate.
Heavy Menstrual Bleeding - Spleen Qi Deficiency,"Tonify Spleen Qi, Hold Blood, Stop bleeding","SP1, SP6, ST36, CV6, BL20, SP10",2x per week throughout cycle; more frequent during period,Gui Pi Tang (归脾汤),"Leg (Inner View - SP/KI/LV), Chest & Upper Abdomen (Front), Back & Spine (Back View)","Rule out pathology (fibroids, etc.). Iron supplementation may be needed. Moxa to ST36, CV6. Avoid cold/raw foods."
