question,answer,acupuncture_points,pharmacopeia
How to treat feeling stuck and unable to move forward?,"Severe Qi Stagnation with Dampness Obstruction. Stuck feeling shows blocked flow with heavy damp burden. Move qi powerfully, transform dampness, clear pathways, restore movement.","LV-3 (Taichong), GB-34 (Yanglingquan), ST-36 (Zusanli), SP-9 (Yinlingquan), PC-6 (Neiguan), LV-14 (Qimen)",Xue Fu Zhu Yu Tang (Drive Out Stasis from Mansion of Blood) plus Wu Ling San
What TCM approach helps loss of purpose and direction?,"Heart-Kidney Disconnection with Kidney Essence Deficiency. Lost purpose shows heart-kidney split affecting willpower and direction. Connect heart-kidney, tonify kidney, restore clarity of life purpose.","HT-7 (Shenmen), KI-3 (Taixi), REN-17 (Danzhong), BL-15 (Xinshu), BL-23 (Shenshu), PC-6 (Neiguan)",Gui Pi Tang (Restore Spleen) plus Jin Gui Shen Qi Wan plus purpose work
How does TCM support initiative and goal-setting difficulties?,"Liver Qi Stagnation with Spleen-Kidney Deficiency. Initiative problems show constrained beginning impulse with weak foundation. Soothe liver for initiation, tonify spleen-kidney for sustained action.","LV-3 (Taichong), ST-36 (Zusanli), KI-3 (Taixi), GB-34 (Yanglingquan), SP-6 (Sanyinjiao), PC-6 (Neiguan)",Xiao Yao San (Free and Easy Wanderer) plus Jin Gui Shen Qi Wan
What helps morning lethargy affecting daily motivation?,"Spleen-Kidney Yang Deficiency. Morning lethargy shows yang not rising to activate daily qi. Warm spleen-kidney yang, lift morning qi, restore energetic awakening.","DU-20 (Baihui), ST-36 (Zusanli), REN-6 (Qihai), DU-4 (Mingmen), KI-3 (Taixi), SP-6 (Sanyinjiao)",You Gui Wan (Restore Right Kidney) plus morning activation
How to treat apathy and disinterest in life?,"Severe Heart-Kidney Yang Deficiency with Shen Withdrawal. Apathy shows profound yang depletion forcing consciousness retreat. Tonify heart-kidney yang, re-engage shen, restore interest in life.","HT-7 (Shenmen), KI-3 (Taixi), REN-6 (Qihai), DU-4 (Mingmen), ST-36 (Zusanli), DU-20 (Baihui)",Ren Shen Yang Rong Tang (Ginseng Nourish Luxuriance) plus shen re-engagement
What TCM treatment helps restore passion and enthusiasm?,"Liver Qi Stagnation transforming to Liver Blood Deficiency with Heart Fire Deficiency. Lost passion shows constrained then depleted flow with extinguished heart fire. Soothe liver, nourish blood, reignite heart fire.","HT-7 (Shenmen), LV-3 (Taichong), REN-17 (Danzhong), BL-15 (Xinshu), LV-14 (Qimen), PC-6 (Neiguan)",Chai Hu Shu Gan San (Bupleurum) plus Gui Pi Tang plus reignite passion
How does TCM address resistance to change and growth?,"Liver Qi Stagnation with Kidney Yang Deficiency. Change resistance shows fear-based constraint with depleted adaptive energy. Soothe liver fear, tonify kidney yang, increase flexibility and openness.","LV-3 (Taichong), KI-3 (Taixi), DU-4 (Mingmen), GB-34 (Yanglingquan), ST-36 (Zusanli), REN-6 (Qihai)",Xiao Yao San (Free and Easy Wanderer) plus You Gui Wan plus flexibility training
What TCM treatment helps pressure-induced mental paralysis?,"Heart-Gallbladder Qi Deficiency with Liver Qi Stagnation and Phlegm. Pressure paralysis shows fearful freeze response with clouded thinking. Tonify heart-gallbladder courage, soothe liver, clear phlegm, restore action.","HT-7 (Shenmen), GB-34 (Yanglingquan), LV-3 (Taichong), ST-40 (Fenglong), PC-6 (Neiguan), Yintang",Wen Dan Tang (Warm Gallbladder) plus Xiao Yao San plus courage building
How does TCM address performance anxiety and stage fright?,"Heart-Kidney Yin Deficiency with Liver Qi Stagnation. Performance anxiety shows depleted calming yin with constrained expression. Nourish heart-kidney yin, soothe liver, restore calm confident performance.","HT-7 (Shenmen), KI-6 (Zhaohai), LV-3 (Taichong), PC-6 (Neiguan), Yintang, SP-6 (Sanyinjiao)",Tian Wang Bu Xin Dan (Emperor of Heaven) plus Xiao Yao San
What helps patients who freeze under deadlines?,"Spleen-Kidney Yang Deficiency with Liver Qi Stagnation. Deadline freeze shows depleted action energy with constrained flow. Warm yang, soothe liver, activate timely movement.","ST-36 (Zusanli), LV-3 (Taichong), DU-4 (Mingmen), REN-6 (Qihai), KI-3 (Taixi), GB-34 (Yanglingquan)",You Gui Wan (Restore Right Kidney) plus Xiao Yao San plus activation practice
How to treat stress-induced mental blanking?,"Heart-Kidney Yin Deficiency with Phlegm Misting Orifices. Mental blanking shows depleted yin calm with phlegm blocking access. Nourish yin, clear phlegm, restore mental retrieval under stress.","HT-7 (Shenmen), KI-6 (Zhaohai), ST-40 (Fenglong), Yintang, PC-6 (Neiguan), DU-20 (Baihui)",Liu Wei Di Huang Wan (Six-Ingredient Rehmannia) plus Wen Dan Tang
What TCM approach helps test anxiety affecting performance?,"Heart-Gallbladder Qi Deficiency with Liver Qi Stagnation. Test anxiety shows weak courage with constrained mental flow. Tonify heart-gallbladder, soothe liver, restore confident exam performance.","HT-7 (Shenmen), GB-34 (Yanglingquan), LV-3 (Taichong), PC-6 (Neiguan), Yintang, ST-36 (Zusanli)",Wen Dan Tang (Warm Gallbladder) plus Xiao Yao San plus test preparation
How does TCM support stress resilience and adaptability?,"Kidney Essence and Spleen-Kidney Yang. Resilience requires strong kidney foundation and yang adaptability. Tonify kidney essence-yang, strengthen spleen, increase stress adaptation capacity.","KI-3 (Taixi), ST-36 (Zusanli), DU-4 (Mingmen), REN-6 (Qihai), BL-23 (Shenshu), HT-7 (Shenmen)",Jin Gui Shen Qi Wan (Kidney Qi Pill) plus You Gui Wan plus adaptogen herbs
What helps workaholism and inability to rest mentally?,"Liver Qi Stagnation with Heart-Kidney Yin Deficiency. Workaholism shows compensating stagnation with depleted rest capacity. Soothe liver, nourish heart-kidney yin, restore work-rest balance.","LV-3 (Taichong), HT-7 (Shenmen), KI-6 (Zhaohai), SP-6 (Sanyinjiao), PC-6 (Neiguan), Yintang",Xiao Yao San (Free and Easy Wanderer) plus Liu Wei Di Huang Wan plus rest practice
How to treat burnout from chronic high-pressure environment?,"Severe Qi-Blood-Yin-Yang Depletion with Shen Exhaustion. Burnout shows total vital substance depletion. Comprehensive tonification all levels, rest shen, deep restoration required.","ST-36 (Zusanli), KI-3 (Taixi), HT-7 (Shenmen), SP-6 (Sanyinjiao), REN-6 (Qihai), DU-20 (Baihui)",Ba Zhen Tang (Eight Treasures) plus Ren Shen Yang Rong Tang plus deep rest
What TCM treatment helps deadline-related panic?,"Heart-Gallbladder Qi Deficiency with Phlegm-Fire. Deadline panic shows anxious organs with agitating fire. Tonify heart-gallbladder, clear phlegm-fire, calm panic response.","HT-7 (Shenmen), GB-34 (Yanglingquan), PC-6 (Neiguan), ST-40 (Fenglong), LI-11 (Quchi), Yintang",Wen Dan Tang (Warm Gallbladder) plus calming minerals plus time management
How does TCM address nervous system dysregulation from stress?,"Liver Yang Rising with Kidney Yin Deficiency and Heart Qi Deficiency. Dysregulation shows excess rising yang with depleted foundation. Calm liver yang, nourish kidney yin, tonify heart qi, restore regulation.","LV-3 (Taichong), KI-3 (Taixi), HT-7 (Shenmen), GB-20 (Fengchi), PC-6 (Neiguan), DU-20 (Baihui)",Tian Ma Gou Teng Yin (Gastrodia) plus Liu Wei Di Huang Wan plus regulation practice
What TCM treatment helps identity confusion and crisis?,"Heart-Kidney Disconnection with Liver Qi Stagnation. Identity confusion shows split self-understanding with constrained authentic expression. Connect heart-kidney, soothe liver, integrate identity.","HT-7 (Shenmen), KI-3 (Taixi), LV-3 (Taichong), PC-6 (Neiguan), REN-17 (Danzhong), DU-20 (Baihui)",Gui Pi Tang (Restore Spleen) plus Xiao Yao San plus identity integration work
How does TCM address lack of self-awareness?,"Heart-Shen Clouded with Phlegm and Dampness. Lack of self-awareness shows obscured consciousness unable to perceive self. Clear phlegm-damp, brighten shen, restore self-perception.","DU-20 (Baihui), Yintang, HT-7 (Shenmen), ST-40 (Fenglong), SP-9 (Yinlingquan), Sishencong",Wen Dan Tang (Warm Gallbladder) plus Wu Ling San plus self-reflection practice
What helps patients disconnected from authentic self?,"Heart-Kidney Disconnection with Liver Qi Severe Stagnation. Disconnection from authentic self shows major split with heavily constrained true nature. Connect heart-kidney, deeply soothe liver, recover authenticity.","HT-7 (Shenmen), KI-3 (Taixi), LV-3 (Taichong), PC-6 (Neiguan), REN-17 (Danzhong), GB-34 (Yanglingquan)",Gui Pi Tang (Restore Spleen) plus Xiao Yao San plus authenticity recovery
How to treat people-pleasing at expense of self?,"Spleen Qi Deficiency with Liver Qi Stagnation Invading. People-pleasing shows weak personal center invaded by external demands. Strengthen spleen center, establish boundaries, honor self-needs.","ST-36 (Zusanli), LV-3 (Taichong), SP-6 (Sanyinjiao), REN-12 (Zhongwan), BL-20 (Pishu), PC-6 (Neiguan)",Si Jun Zi Tang (Four Gentlemen) plus Xiao Yao San plus self-honoring practice
What TCM approach helps victims of codependency?,"Kidney Essence Deficiency with Weak Wei Qi Boundaries. Codependency shows no energetic separation between self and other. Tonify kidney self-essence, strengthen wei qi boundaries, establish independence.","KI-3 (Taixi), LI-4 (Hegu), ST-36 (Zusanli), REN-6 (Qihai), SP-6 (Sanyinjiao), BL-23 (Shenshu)",Jin Gui Shen Qi Wan (Kidney Qi Pill) plus Yu Ping Feng San plus separation work
How does TCM support weak sense of boundaries?,"Spleen Qi Deficiency with Liver Qi Stagnation. Weak boundaries show deficient center with constrained self-assertion. Strengthen spleen, soothe liver, establish clear limits.","ST-36 (Zusanli), LV-3 (Taichong), SP-6 (Sanyinjiao), REN-12 (Zhongwan), LI-4 (Hegu), PC-6 (Neiguan)",Si Jun Zi Tang (Four Gentlemen) plus Xiao Yao San plus boundary establishment
