Question,Answer,Points,Pharmacopeia,Pregnancy_Warning
What treats pediatric headaches from screen time?,GB20 (Fengchi) for neck tension. Taiyang for temples. BL2 for eyes. LI4 for pain. GV20 for vertex.,"GB20, Taiyang, BL2, LI4, GV20",Liver-soothing formulas,N/A - pediatric treatment
How to treat pediatric chronic rhinitis?,LI20 and Yintang for nose. LI4 for Wei Qi. BL13 for Lung. ST36 for immunity. GB20 for upper body.,"LI20, Yintang, LI4, BL13, ST36, GB20",Cang Er Zi San modifications,N/A - pediatric treatment
What is the role of Sifeng points in pediatrics?,Sifeng (Four Seams) are extra points on the palmar surface of finger joints. Pricked to release yellow fluid for food stagnation malnutrition and poor appetite. Very effective for digestive issues.,"Sifeng M-UE-9",Combined with digestive formulas,N/A - pediatric treatment
How to treat pediatric night crying?,HT7 calms Heart. Yintang for peace. Anmian for sleep. KI3 if Kidney weakness. Check for pain or digestive issues first.,"HT7, Yintang, Anmian, KI3",An Shen pediatric formulas,N/A - pediatric treatment
What treats recurrent strep throat?,LI4 and LI11 for heat. LU11 for throat - can bleed. CV22 local for throat. ST44 clears Yangming heat. GB20.,"LI4, LI11, LU11, CV22, ST44, GB20",Yin Qiao San or Pu Ji Xiao Du Yin,N/A - pediatric treatment
How to treat pediatric torticollis?,GB20 and GB21 for neck. SI3 (Houxi) for neck stiffness. BL10 (Tianzhu) local. LI4 for pain. Ahshi points.,"GB20, GB21, SI3, BL10, LI4",Muscle-relaxing formulas,N/A - pediatric treatment
What points help with concentration issues?,GV20 and Sishencong for mental clarity. HT7 for Heart-brain. KI3 for essence supporting brain. PC6 for focus. LR3 if hyperactivity.,"GV20, Sishencong, HT7, KI3, PC6, LR3",Focus-supporting formulas,N/A - pediatric treatment
How to treat pediatric sports injuries?,Local Ahshi points. GB34 for sinews. ST36 for healing. BL17 for blood. LI4 for pain. Based on injury location.,"Local points, GB34, ST36, BL17, LI4",Die Da formulas pediatric,N/A - pediatric treatment
What is dosing principle for pediatric herbs?,Under 1 year: 1/6 adult dose. 1-3 years: 1/4 dose. 3-6 years: 1/3 dose. 6-12 years: 1/2 dose. Over 12: approaching adult dose. Adjust for constitution.,"Acupuncture treatment as primary",Age and weight-based dosing,N/A - pediatric treatment
How to treat pediatric emotional trauma?,HT7 and PC6 for Heart calming. Yintang for peace. GV20 for spirit lifting. KI3 for grounding. LR3 for Liver Qi.,"HT7, PC6, Yintang, GV20, KI3, LR3",Gan Mai Da Zao Tang,N/A - pediatric treatment
What is the role of parents in pediatric treatment?,Parents provide history and observe symptoms. May hold child during treatment. Learn massage techniques for home care. Administer herbs. Monitor progress.,"Teach parents Tuina",Teach herbal administration,N/A - pediatric treatment
