Question,Answer,Category,Notes
How do I treat postpartum fatigue?,"Diagnosis: Qi and Blood severely depleted from birth. Strategy: Heavy tonification of Qi and Blood. Points: CV4, CV6, ST36. Formula: Shi Quan Da Bu Tang (Ten Complete Great Tonification).",clinical_scenarios,Postpartum
How do I treat low milk supply?,"Diagnosis: Qi and Blood Deficiency blocking the channels. Strategy: Nourish and unblock the channels. Points: SI1, CV17, ST18. Formula: Tong Ru Dan.",clinical_scenarios,Postpartum
How do I treat mastitis?,"Diagnosis: Toxic Heat with Stagnation in the breast. Strategy: Clear Heat and Toxin urgently. Points: ST18, LI11, LV3. Formula: Pu Ji Xiao Du Yin.",clinical_scenarios,Postpartum
How do I treat chronic UTI?,"Diagnosis: Damp-Heat in Lower Jiao. Strategy: Clear Damp-Heat from Bladder. Points: SP9, BL28, CV3. Formula: Ba Zheng San.",clinical_scenarios,Urinary
How do I treat prostatitis?,"Diagnosis: Damp-Heat with Stagnation in Lower Jiao. Strategy: Clear Damp-Heat and move stagnation. Points: CV3, BL32, SP9. Formula: Qian Lie Xian Tang.",clinical_scenarios,Urinary
How do I treat psychological erectile dysfunction?,"Diagnosis: Liver Qi Stagnation with Fear affecting Kidney. Strategy: Smooth Liver and calm Shen. Points: LV3, KD3, GV20. Formula: Chai Hu Shu Gan San.",clinical_scenarios,Sexual health
How do I treat physical erectile dysfunction?,"Diagnosis: Kidney Yang Deficiency. Strategy: Tonify Kidney Yang strongly. Points: GV4, BL23, KD7. Formula: You Gui Wan.",clinical_scenarios,Sexual health
How do I treat hair loss?,"Diagnosis: Blood Deficiency or Kidney Essence decline. Strategy: Nourish Blood and Essence. Points: BL17, KD3, GV20. Formula: Qi Bao Mei Ran Dan (Seven Treasures for Beautiful Whiskers).",clinical_scenarios,Hair
How do I treat premature grey hair?,"Diagnosis: Kidney Essence declining early. Strategy: Nourish Kidney Essence. Points: KD3, KD6, BL23. Formula: Qi Bao Mei Ran Dan.",clinical_scenarios,Hair
How do I treat weak brittle nails?,"Diagnosis: Liver Blood Deficiency (nails are 'surplus' of Liver). Strategy: Nourish Liver Blood. Points: LV8, SP6, BL18. Formula: Si Wu Tang.",clinical_scenarios,Liver blood
How do I treat dry skin?,"Diagnosis: Blood and Yin Deficiency failing to moisten skin. Strategy: Moisten dryness and nourish Blood. Points: SP10, LU9, SP6. Formula: Si Wu Tang.",clinical_scenarios,Skin
How do I treat itchy skin worse at night?,"Diagnosis: Blood Heat generating Wind. Strategy: Cool Blood and expel Wind. Points: SP10, LI11, BL40. Formula: Xiao Feng San.",clinical_scenarios,Skin
How do I treat psoriasis?,"Diagnosis: Blood Heat with Stasis. Strategy: Cool Blood and break Stasis. Points: BL17, SP10, LI11. Formula: Liang Xue Di Huang Tang.",clinical_scenarios,Skin
How do I treat shingles pain (post-herpetic neuralgia)?,"Diagnosis: Damp-Heat Toxin with Liver Fire. Strategy: Clear Fire and Toxin from channels. Points: GB34, LI11, Ashi points. Formula: Long Dan Xie Gan Tang.",clinical_scenarios,Nerve pain
How do I treat Bell's Palsy?,"Diagnosis: Wind-Cold invading the facial channels. Strategy: Expel Wind and restore channel flow. Points: ST4, ST6, LI4, SJ17. Formula: Qian Zheng San.",clinical_scenarios,Facial paralysis
How do I treat stroke recovery with hemiplegia?,"Diagnosis: Qi Deficiency with Blood Stasis blocking channels. Strategy: Strongly tonify Qi and move Blood. Points: GV20, LI11, GB34. Formula: Bu Yang Huan Wu Tang.",clinical_scenarios,Stroke
How do I treat tremors?,"Diagnosis: Internal Liver Wind. Strategy: Extinguish Wind and calm Liver. Points: LV3, GB34, GV20. Formula: Tian Ma Gou Teng Yin.",clinical_scenarios,Neurological
How do I treat Parkinson's symptoms?,"Diagnosis: Liver/Kidney Yin Deficiency generating internal Wind. Strategy: Nourish Yin deeply and stop Wind. Points: KD3, LV3, GB34. Formula: Da Ding Feng Zhu.",clinical_scenarios,Neurological
How do I treat poor memory?,"Diagnosis: Kidney Essence or Heart Blood Deficiency. Strategy: Nourish the Brain and Heart. Points: GV20, HT7, KD3. Formula: Bu Nao Wan.",clinical_scenarios,Cognitive
How do I treat difficulty focusing?,"Diagnosis: Spleen Qi Deficiency with Phlegm clouding mind. Strategy: Tonify Spleen and clear Phlegm. Points: SP3, ST40, GV20. Formula: Consider Yi Zhi Ren (Alpinia).",clinical_scenarios,Cognitive
How do I treat adult ADHD/hyperactivity?,"Diagnosis: Yin Deficiency with Yang Hyperactive. Strategy: Nourish Yin to anchor hyperactive Yang. Points: KD6, SP6, LV3. Formula: Liu Wei Di Huang Wan.",clinical_scenarios,Mental health
How do I treat chronic sinusitis?,"Diagnosis: Lung Heat with Dampness in nasal passages. Strategy: Clear Heat and resolve Phlegm. Points: LI20, LU7, Bitong (extra). Formula: Cang Er Zi San.",clinical_scenarios,Respiratory
How do I treat allergic rhinitis?,"Diagnosis: Lung and Spleen Qi Deficiency. Strategy: Strengthen Wei Qi and stabilize exterior. Points: LU9, LI4, ST36. Formula: Yu Ping Feng San.",clinical_scenarios,Respiratory
How do I treat acute asthma?,"Diagnosis: Phlegm-Heat or Wind obstructing Lung. Strategy: Clear Lung and stop wheezing urgently. Points: Dingchuan (extra), LU5, CV22. Formula: Ding Chuan Tang.",clinical_scenarios,Respiratory
How do I treat chronic asthma?,"Diagnosis: Lung and Kidney Deficiency failing to grasp Qi. Strategy: Tonify Lung/Kidney to anchor Qi. Points: BL13, BL23, KD3. Formula: Su Zi Jiang Qi Tang.",clinical_scenarios,Respiratory
How do I treat dry cough?,"Diagnosis: Lung Yin Deficiency. Strategy: Moisten and nourish Lung Yin. Points: LU9, BL13, KD6. Formula: Sha Shen Mai Men Dong Tang.",clinical_scenarios,Respiratory
How do I treat productive cough with phlegm?,"Diagnosis: Damp-Phlegm in the Lung. Strategy: Resolve Phlegm and restore Lung descending. Points: ST40, LU5, CV22. Formula: Er Chen Tang.",clinical_scenarios,Respiratory
How do I treat chronic sore throat?,"Diagnosis: Kidney Yin Deficiency with empty Fire rising. Strategy: Nourish Yin to clear throat. Points: KD3, KD6, LU10. Formula: Zhi Bai Di Huang Wan.",clinical_scenarios,Throat
What if patient feels 'toxic' overall?,"Diagnosis: Accumulation of Damp-Heat or Toxin. Strategy: Detoxify with clearing protocol. Points: LI11, SP9, GV14. Formula: Wu Wei Xiao Du Yin (Five Ingredient Toxin Clearing).",clinical_scenarios,Detox
How do I treat stubborn weight gain?,"Diagnosis: Phlegm-Dampness with Yang Deficiency. Strategy: Warm Yang and drain Dampness. Points: ST40, SP9, ST25. Formula: Fang Feng Tong Sheng San.",clinical_scenarios,Weight
How do I treat inability to gain weight?,"Diagnosis: Spleen and Stomach Deficiency. Strategy: Strongly tonify the Middle Jiao. Points: ST36, SP3, CV12. Formula: Shen Ling Bai Zhu San.",clinical_scenarios,Weight
How do I treat edema and swelling?,"Diagnosis: Yang Deficiency of Spleen/Kidney failing to transform water. Strategy: Warm and transform water. Points: SP9, KD7, BL23. Formula: Zhen Wu Tang.",clinical_scenarios,Edema
How do I treat varicose veins?,"Diagnosis: Qi Sinking with Blood Stasis. Strategy: Raise Qi and move Blood. Points: GV20, SP6, BL17. Formula: Bu Zhong Yi Qi Tang.",clinical_scenarios,Vascular
How do I treat hemorrhoids?,"Diagnosis: Damp-Heat with Qi Sinking. Strategy: Clear Heat and raise Qi. Points: Erbai (extra), BL57, GV20. Formula: Huai Jiao Wan.",clinical_scenarios,Anorectal
How do I treat chronic tendinitis?,"Diagnosis: Liver Blood Deficiency causing tendon dryness. Strategy: Nourish Liver Blood to moisten tendons. Points: GB34, LV8, ST36. Formula: Shao Yao Gan Cao Tang.",clinical_scenarios,Musculoskeletal
How do I treat fibromyalgia?,"Diagnosis: Complex pattern - Liver Qi Stagnation + Spleen Dampness + underlying Deficiency. Strategy: Harmonize this complex presentation. Points: LV3, SP9, ST36. Formula: Xiao Yao San as base.",clinical_scenarios,Pain syndrome
How do I treat Chronic Fatigue Syndrome?,"Diagnosis: Deep Qi/Yang Deficiency or Latent Heat. Strategy: Complex tonification over time. Points: CV4, CV6, BL43 (Gaohuang). Formula: Bu Zhong Yi Qi Tang.",clinical_scenarios,Fatigue
How do I treat general malaise and feeling unwell?,"Diagnosis: Qi Stagnation or minor pathogen in Shao Yang. Strategy: Harmonize Shao Yang. Points: SJ5, GB41, TE6. Formula: Xiao Chai Hu Tang (Minor Bupleurum).",clinical_scenarios,General
