Question_ID,Question,Answer,Acupuncture_Points,Pharmacopeia_Formula
Q015,What is the primary TCM pattern diagnosis for Warts?,The primary pattern is Exterior Wind with Toxic-Heat.,"LI11 (Quchi), SP9 (Yinlingquan), LI4 (Hegu), local ah-shi points",Ma Chi Xian He Ji (Purslane Combination)
Q016,What is the primary TCM pattern diagnosis for Furuncles (Boils)?,The primary pattern is Toxic-Heat in Blood.,"LI11 (Quchi), SP10 (Xuehai), LI4 (Hegu), ST36 (Zusanli)",Wu Wei Xiao Du Yin (Five Ingredient Eliminate Toxin Decoction)
Q017,What is the primary TCM pattern diagnosis for Cellulitis?,The primary pattern is Heat-Toxin invasion.,"LI11 (Quchi), ST36 (Zusanli), SP6 (Sanyinjiao), local points",Huang Lian Jie Du Tang (Coptis Relieve Toxin Decoction)
Q018,What is the primary TCM pattern diagnosis for Pruritus (Itching)?,The primary pattern is Blood Deficiency with Wind.,"SP10 (Xuehai), BL17 (Geshu), LI11 (Quchi), GV14 (Dazhui)",Dang Gui Yin Zi (Tangkuei Drink)
Q019,What is the primary TCM pattern diagnosis for Dyshidrotic Eczema?,The primary pattern is Spleen Deficiency with Damp-Heat.,"SP6 (Sanyinjiao), SP9 (Yinlingquan), LI11 (Quchi), ST36 (Zusanli)",Chu Shi Wei Ling Tang (Eliminate Dampness Stomach-Spleen Decoction)
Q020,What is the primary TCM pattern diagnosis for Folliculitis?,The primary pattern is Damp-Heat with Toxins.,"LI11 (Quchi), ST36 (Zusanli), SP10 (Xuehai), LI4 (Hegu)",Wu Wei Xiao Du Yin (Five Ingredient Eliminate Toxin Decoction)
Q021,Which acupuncture points are most effective for treating Eczema (Atopic Dermatitis)?,"Key points include LI11 (Quchi), SP10 (Xuehai), SP6 (Sanyinjiao), ST36 (Zusanli), which help address the underlying Damp-Heat in Spleen pattern.","LI11 (Quchi), SP10 (Xuehai), SP6 (Sanyinjiao), ST36 (Zusanli)",Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction)
Q022,Which acupuncture points are most effective for treating Eczema (Chronic)?,"Key points include SP10 (Xuehai), BL17 (Geshu), LI11 (Quchi), ST36 (Zusanli), which help address the underlying Blood Deficiency with Wind-Dryness pattern.","SP10 (Xuehai), BL17 (Geshu), LI11 (Quchi), ST36 (Zusanli)",Si Wu Tang (Four Substance Decoction) modified
Q023,Which acupuncture points are most effective for treating Psoriasis?,"Key points include LI11 (Quchi), SP10 (Xuehai), LI4 (Hegu), BL40 (Weizhong), which help address the underlying Blood-Heat with Toxins pattern.","LI11 (Quchi), SP10 (Xuehai), LI4 (Hegu), BL40 (Weizhong)",Liang Xue Wu Gen Tang (Cool Blood Five Roots Decoction)
Q024,Which acupuncture points are most effective for treating Acne (Inflammatory)?,"Key points include LI4 (Hegu), LI11 (Quchi), LU7 (Lieque), ST36 (Zusanli), which help address the underlying Lung-Heat with Damp pattern.","LI4 (Hegu), LI11 (Quchi), LU7 (Lieque), ST36 (Zusanli)",Pi Pa Qing Fei Yin (Loquat Clear Lung Decoction)
Q025,Which acupuncture points are most effective for treating Acne (Hormonal)?,"Key points include LR3 (Taichong), GB34 (Yanglingquan), LI4 (Hegu), SP6 (Sanyinjiao), which help address the underlying Liver-Qi Stagnation pattern.","LR3 (Taichong), GB34 (Yanglingquan), LI4 (Hegu), SP6 (Sanyinjiao)",Xiao Yao San (Free and Easy Wanderer) modified
Q026,Which acupuncture points are most effective for treating Urticaria (Acute)?,"Key points include LI11 (Quchi), SP10 (Xuehai), GV14 (Dazhui), LI4 (Hegu), which help address the underlying Wind-Heat invasion pattern.","LI11 (Quchi), SP10 (Xuehai), GV14 (Dazhui), LI4 (Hegu)",Xiao Feng San (Eliminate Wind Powder)
Q027,Which acupuncture points are most effective for treating Urticaria (Chronic)?,"Key points include SP10 (Xuehai), ST36 (Zusanli), BL17 (Geshu), CV6 (Qihai), which help address the underlying Qi and Blood Deficiency pattern.","SP10 (Xuehai), ST36 (Zusanli), BL17 (Geshu), CV6 (Qihai)",Dang Gui Yin Zi (Tangkuei Drink)
Q028,Which acupuncture points are most effective for treating Rosacea?,"Key points include LI20 (Yingxiang), LI4 (Hegu), ST2 (Sibai), LU7 (Lieque), which help address the underlying Lung-Heat with Blood Stasis pattern.","LI20 (Yingxiang), LI4 (Hegu), ST2 (Sibai), LU7 (Lieque)",Liang Xue Si Wu Tang (Cool Blood Four Substance Decoction)
Q029,Which acupuncture points are most effective for treating Vitiligo?,"Key points include BL18 (Ganshu), BL23 (Shenshu), SP6 (Sanyinjiao), KI3 (Taixi), which help address the underlying Liver-Kidney Yin Deficiency pattern.","BL18 (Ganshu), BL23 (Shenshu), SP6 (Sanyinjiao), KI3 (Taixi)",Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill) modified
Q030,Which acupuncture points are most effective for treating Seborrheic Dermatitis?,"Key points include ST36 (Zusanli), SP9 (Yinlingquan), LI11 (Quchi), SP6 (Sanyinjiao), which help address the underlying Spleen-Stomach Damp-Heat pattern.","ST36 (Zusanli), SP9 (Yinlingquan), LI11 (Quchi), SP6 (Sanyinjiao)",Yin Chen Wu Ling San (Artemisia Capillaris Five Ling Powder)
Q031,Which acupuncture points are most effective for treating Contact Dermatitis?,"Key points include LI11 (Quchi), SP10 (Xuehai), LI4 (Hegu), SP9 (Yinlingquan), which help address the underlying Wind-Heat-Damp pattern.","LI11 (Quchi), SP10 (Xuehai), LI4 (Hegu), SP9 (Yinlingquan)",Xiao Feng San (Eliminate Wind Powder)
Q032,Which acupuncture points are most effective for treating Herpes Zoster (Shingles)?,"Key points include GB34 (Yanglingquan), LI11 (Quchi), SP10 (Xuehai), LR2 (Xingjian), which help address the underlying Liver-Fire with Damp-Heat pattern.","GB34 (Yanglingquan), LI11 (Quchi), SP10 (Xuehai), LR2 (Xingjian)",Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction)
Q033,Which acupuncture points are most effective for treating Alopecia Areata?,"Key points include BL18 (Ganshu), GB20 (Fengchi), GV20 (Baihui), BL17 (Geshu), which help address the underlying Liver-Blood Deficiency pattern.","BL18 (Ganshu), GB20 (Fengchi), GV20 (Baihui), BL17 (Geshu)",Shen Ying Yang Zhen Dan (Spirit Response Nourish Vitality Pill)
Q034,Which acupuncture points are most effective for treating Melasma?,"Key points include LR3 (Taichong), SP10 (Xuehai), LI4 (Hegu), ST36 (Zusanli), which help address the underlying Liver-Qi Stagnation with Blood Stasis pattern.","LR3 (Taichong), SP10 (Xuehai), LI4 (Hegu), ST36 (Zusanli)",Tao Hong Si Wu Tang (Persica & Carthamus Four Substance Decoction)
Q035,Which acupuncture points are most effective for treating Warts?,"Key points include LI11 (Quchi), SP9 (Yinlingquan), LI4 (Hegu), local ah-shi points, which help address the underlying Exterior Wind with Toxic-Heat pattern.","LI11 (Quchi), SP9 (Yinlingquan), LI4 (Hegu), local ah-shi points",Ma Chi Xian He Ji (Purslane Combination)
Q036,Which acupuncture points are most effective for treating Furuncles (Boils)?,"Key points include LI11 (Quchi), SP10 (Xuehai), LI4 (Hegu), ST36 (Zusanli), which help address the underlying Toxic-Heat in Blood pattern.","LI11 (Quchi), SP10 (Xuehai), LI4 (Hegu), ST36 (Zusanli)",Wu Wei Xiao Du Yin (Five Ingredient Eliminate Toxin Decoction)
Q037,Which acupuncture points are most effective for treating Cellulitis?,"Key points include LI11 (Quchi), ST36 (Zusanli), SP6 (Sanyinjiao), local points, which help address the underlying Heat-Toxin invasion pattern.","LI11 (Quchi), ST36 (Zusanli), SP6 (Sanyinjiao), local points",Huang Lian Jie Du Tang (Coptis Relieve Toxin Decoction)
Q038,Which acupuncture points are most effective for treating Pruritus (Itching)?,"Key points include SP10 (Xuehai), BL17 (Geshu), LI11 (Quchi), GV14 (Dazhui), which help address the underlying Blood Deficiency with Wind pattern.","SP10 (Xuehai), BL17 (Geshu), LI11 (Quchi), GV14 (Dazhui)",Dang Gui Yin Zi (Tangkuei Drink)
Q039,Which acupuncture points are most effective for treating Dyshidrotic Eczema?,"Key points include SP6 (Sanyinjiao), SP9 (Yinlingquan), LI11 (Quchi), ST36 (Zusanli), which help address the underlying Spleen Deficiency with Damp-Heat pattern.","SP6 (Sanyinjiao), SP9 (Yinlingquan), LI11 (Quchi), ST36 (Zusanli)",Chu Shi Wei Ling Tang (Eliminate Dampness Stomach-Spleen Decoction)
Q040,Which acupuncture points are most effective for treating Folliculitis?,"Key points include LI11 (Quchi), ST36 (Zusanli), SP10 (Xuehai), LI4 (Hegu), which help address the underlying Damp-Heat with Toxins pattern.","LI11 (Quchi), ST36 (Zusanli), SP10 (Xuehai), LI4 (Hegu)",Wu Wei Xiao Du Yin (Five Ingredient Eliminate Toxin Decoction)
Q041,What herbal formula is recommended for Eczema (Atopic Dermatitis) with Damp-Heat in Spleen pattern?,Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction) is the recommended formula for this presentation.,"LI11 (Quchi), SP10 (Xuehai), SP6 (Sanyinjiao), ST36 (Zusanli)",Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction)
Q042,What herbal formula is recommended for Eczema (Chronic) with Blood Deficiency with Wind-Dryness pattern?,Si Wu Tang (Four Substance Decoction) modified is the recommended formula for this presentation.,"SP10 (Xuehai), BL17 (Geshu), LI11 (Quchi), ST36 (Zusanli)",Si Wu Tang (Four Substance Decoction) modified
Q043,What herbal formula is recommended for Psoriasis with Blood-Heat with Toxins pattern?,Liang Xue Wu Gen Tang (Cool Blood Five Roots Decoction) is the recommended formula for this presentation.,"LI11 (Quchi), SP10 (Xuehai), LI4 (Hegu), BL40 (Weizhong)",Liang Xue Wu Gen Tang (Cool Blood Five Roots Decoction)
Q044,What herbal formula is recommended for Acne (Inflammatory) with Lung-Heat with Damp pattern?,Pi Pa Qing Fei Yin (Loquat Clear Lung Decoction) is the recommended formula for this presentation.,"LI4 (Hegu), LI11 (Quchi), LU7 (Lieque), ST36 (Zusanli)",Pi Pa Qing Fei Yin (Loquat Clear Lung Decoction)
Q045,What herbal formula is recommended for Acne (Hormonal) with Liver-Qi Stagnation pattern?,Xiao Yao San (Free and Easy Wanderer) modified is the recommended formula for this presentation.,"LR3 (Taichong), GB34 (Yanglingquan), LI4 (Hegu), SP6 (Sanyinjiao)",Xiao Yao San (Free and Easy Wanderer) modified
Q046,What herbal formula is recommended for Urticaria (Acute) with Wind-Heat invasion pattern?,Xiao Feng San (Eliminate Wind Powder) is the recommended formula for this presentation.,"LI11 (Quchi), SP10 (Xuehai), GV14 (Dazhui), LI4 (Hegu)",Xiao Feng San (Eliminate Wind Powder)
Q047,What herbal formula is recommended for Urticaria (Chronic) with Qi and Blood Deficiency pattern?,Dang Gui Yin Zi (Tangkuei Drink) is the recommended formula for this presentation.,"SP10 (Xuehai), ST36 (Zusanli), BL17 (Geshu), CV6 (Qihai)",Dang Gui Yin Zi (Tangkuei Drink)
Q048,What herbal formula is recommended for Rosacea with Lung-Heat with Blood Stasis pattern?,Liang Xue Si Wu Tang (Cool Blood Four Substance Decoction) is the recommended formula for this presentation.,"LI20 (Yingxiang), LI4 (Hegu), ST2 (Sibai), LU7 (Lieque)",Liang Xue Si Wu Tang (Cool Blood Four Substance Decoction)
Q049,What herbal formula is recommended for Vitiligo with Liver-Kidney Yin Deficiency pattern?,Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill) modified is the recommended formula for this presentation.,"BL18 (Ganshu), BL23 (Shenshu), SP6 (Sanyinjiao), KI3 (Taixi)",Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill) modified
Q050,What herbal formula is recommended for Seborrheic Dermatitis with Spleen-Stomach Damp-Heat pattern?,Yin Chen Wu Ling San (Artemisia Capillaris Five Ling Powder) is the recommended formula for this presentation.,"ST36 (Zusanli), SP9 (Yinlingquan), LI11 (Quchi), SP6 (Sanyinjiao)",Yin Chen Wu Ling San (Artemisia Capillaris Five Ling Powder)
Q051,What herbal formula is recommended for Contact Dermatitis with Wind-Heat-Damp pattern?,Xiao Feng San (Eliminate Wind Powder) is the recommended formula for this presentation.,"LI11 (Quchi), SP10 (Xuehai), LI4 (Hegu), SP9 (Yinlingquan)",Xiao Feng San (Eliminate Wind Powder)
Q052,What herbal formula is recommended for Herpes Zoster (Shingles) with Liver-Fire with Damp-Heat pattern?,Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction) is the recommended formula for this presentation.,"GB34 (Yanglingquan), LI11 (Quchi), SP10 (Xuehai), LR2 (Xingjian)",Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction)
Q053,What herbal formula is recommended for Alopecia Areata with Liver-Blood Deficiency pattern?,Shen Ying Yang Zhen Dan (Spirit Response Nourish Vitality Pill) is the recommended formula for this presentation.,"BL18 (Ganshu), GB20 (Fengchi), GV20 (Baihui), BL17 (Geshu)",Shen Ying Yang Zhen Dan (Spirit Response Nourish Vitality Pill)
Q054,What herbal formula is recommended for Melasma with Liver-Qi Stagnation with Blood Stasis pattern?,Tao Hong Si Wu Tang (Persica & Carthamus Four Substance Decoction) is the recommended formula for this presentation.,"LR3 (Taichong), SP10 (Xuehai), LI4 (Hegu), ST36 (Zusanli)",Tao Hong Si Wu Tang (Persica & Carthamus Four Substance Decoction)
Q055,What herbal formula is recommended for Warts with Exterior Wind with Toxic-Heat pattern?,Ma Chi Xian He Ji (Purslane Combination) is the recommended formula for this presentation.,"LI11 (Quchi), SP9 (Yinlingquan), LI4 (Hegu), local ah-shi points",Ma Chi Xian He Ji (Purslane Combination)
Q056,What herbal formula is recommended for Furuncles (Boils) with Toxic-Heat in Blood pattern?,Wu Wei Xiao Du Yin (Five Ingredient Eliminate Toxin Decoction) is the recommended formula for this presentation.,"LI11 (Quchi), SP10 (Xuehai), LI4 (Hegu), ST36 (Zusanli)",Wu Wei Xiao Du Yin (Five Ingredient Eliminate Toxin Decoction)
Q057,What herbal formula is recommended for Cellulitis with Heat-Toxin invasion pattern?,Huang Lian Jie Du Tang (Coptis Relieve Toxin Decoction) is the recommended formula for this presentation.,"LI11 (Quchi), ST36 (Zusanli), SP6 (Sanyinjiao), local points",Huang Lian Jie Du Tang (Coptis Relieve Toxin Decoction)
Q058,What herbal formula is recommended for Pruritus (Itching) with Blood Deficiency with Wind pattern?,Dang Gui Yin Zi (Tangkuei Drink) is the recommended formula for this presentation.,"SP10 (Xuehai), BL17 (Geshu), LI11 (Quchi), GV14 (Dazhui)",Dang Gui Yin Zi (Tangkuei Drink)
Q059,What herbal formula is recommended for Dyshidrotic Eczema with Spleen Deficiency with Damp-Heat pattern?,Chu Shi Wei Ling Tang (Eliminate Dampness Stomach-Spleen Decoction) is the recommended formula for this presentation.,"SP6 (Sanyinjiao), SP9 (Yinlingquan), LI11 (Quchi), ST36 (Zusanli)",Chu Shi Wei Ling Tang (Eliminate Dampness Stomach-Spleen Decoction)
Q060,What herbal formula is recommended for Folliculitis with Damp-Heat with Toxins pattern?,Wu Wei Xiao Du Yin (Five Ingredient Eliminate Toxin Decoction) is the recommended formula for this presentation.,"LI11 (Quchi), ST36 (Zusanli), SP10 (Xuehai), LI4 (Hegu)",Wu Wei Xiao Du Yin (Five Ingredient Eliminate Toxin Decoction)
Q061,How would you combine acupuncture and herbal therapy for Eczema (Atopic Dermatitis)?,"Use acupuncture at LI11 (Quchi), SP10 (Xuehai), SP6 (Sanyinjiao), ST36 (Zusanli) combined with Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction) for synergistic effects in addressing Damp-Heat in Spleen.","LI11 (Quchi), SP10 (Xuehai), SP6 (Sanyinjiao), ST36 (Zusanli)",Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction)
Q062,How would you combine acupuncture and herbal therapy for Eczema (Chronic)?,"Use acupuncture at SP10 (Xuehai), BL17 (Geshu), LI11 (Quchi), ST36 (Zusanli) combined with Si Wu Tang (Four Substance Decoction) modified for synergistic effects in addressing Blood Deficiency with Wind-Dryness.","SP10 (Xuehai), BL17 (Geshu), LI11 (Quchi), ST36 (Zusanli)",Si Wu Tang (Four Substance Decoction) modified
Q063,How would you combine acupuncture and herbal therapy for Psoriasis?,"Use acupuncture at LI11 (Quchi), SP10 (Xuehai), LI4 (Hegu), BL40 (Weizhong) combined with Liang Xue Wu Gen Tang (Cool Blood Five Roots Decoction) for synergistic effects in addressing Blood-Heat with Toxins.","LI11 (Quchi), SP10 (Xuehai), LI4 (Hegu), BL40 (Weizhong)",Liang Xue Wu Gen Tang (Cool Blood Five Roots Decoction)
Q064,How would you combine acupuncture and herbal therapy for Acne (Inflammatory)?,"Use acupuncture at LI4 (Hegu), LI11 (Quchi), LU7 (Lieque), ST36 (Zusanli) combined with Pi Pa Qing Fei Yin (Loquat Clear Lung Decoction) for synergistic effects in addressing Lung-Heat with Damp.","LI4 (Hegu), LI11 (Quchi), LU7 (Lieque), ST36 (Zusanli)",Pi Pa Qing Fei Yin (Loquat Clear Lung Decoction)
Q065,How would you combine acupuncture and herbal therapy for Acne (Hormonal)?,"Use acupuncture at LR3 (Taichong), GB34 (Yanglingquan), LI4 (Hegu), SP6 (Sanyinjiao) combined with Xiao Yao San (Free and Easy Wanderer) modified for synergistic effects in addressing Liver-Qi Stagnation.","LR3 (Taichong), GB34 (Yanglingquan), LI4 (Hegu), SP6 (Sanyinjiao)",Xiao Yao San (Free and Easy Wanderer) modified
Q066,How would you combine acupuncture and herbal therapy for Urticaria (Acute)?,"Use acupuncture at LI11 (Quchi), SP10 (Xuehai), GV14 (Dazhui), LI4 (Hegu) combined with Xiao Feng San (Eliminate Wind Powder) for synergistic effects in addressing Wind-Heat invasion.","LI11 (Quchi), SP10 (Xuehai), GV14 (Dazhui), LI4 (Hegu)",Xiao Feng San (Eliminate Wind Powder)
Q067,How would you combine acupuncture and herbal therapy for Urticaria (Chronic)?,"Use acupuncture at SP10 (Xuehai), ST36 (Zusanli), BL17 (Geshu), CV6 (Qihai) combined with Dang Gui Yin Zi (Tangkuei Drink) for synergistic effects in addressing Qi and Blood Deficiency.","SP10 (Xuehai), ST36 (Zusanli), BL17 (Geshu), CV6 (Qihai)",Dang Gui Yin Zi (Tangkuei Drink)
Q068,How would you combine acupuncture and herbal therapy for Rosacea?,"Use acupuncture at LI20 (Yingxiang), LI4 (Hegu), ST2 (Sibai), LU7 (Lieque) combined with Liang Xue Si Wu Tang (Cool Blood Four Substance Decoction) for synergistic effects in addressing Lung-Heat with Blood Stasis.","LI20 (Yingxiang), LI4 (Hegu), ST2 (Sibai), LU7 (Lieque)",Liang Xue Si Wu Tang (Cool Blood Four Substance Decoction)
Q069,How would you combine acupuncture and herbal therapy for Vitiligo?,"Use acupuncture at BL18 (Ganshu), BL23 (Shenshu), SP6 (Sanyinjiao), KI3 (Taixi) combined with Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill) modified for synergistic effects in addressing Liver-Kidney Yin Deficiency.","BL18 (Ganshu), BL23 (Shenshu), SP6 (Sanyinjiao), KI3 (Taixi)",Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill) modified
Q070,How would you combine acupuncture and herbal therapy for Seborrheic Dermatitis?,"Use acupuncture at ST36 (Zusanli), SP9 (Yinlingquan), LI11 (Quchi), SP6 (Sanyinjiao) combined with Yin Chen Wu Ling San (Artemisia Capillaris Five Ling Powder) for synergistic effects in addressing Spleen-Stomach Damp-Heat.","ST36 (Zusanli), SP9 (Yinlingquan), LI11 (Quchi), SP6 (Sanyinjiao)",Yin Chen Wu Ling San (Artemisia Capillaris Five Ling Powder)
Q071,How would you combine acupuncture and herbal therapy for Contact Dermatitis?,"Use acupuncture at LI11 (Quchi), SP10 (Xuehai), LI4 (Hegu), SP9 (Yinlingquan) combined with Xiao Feng San (Eliminate Wind Powder) for synergistic effects in addressing Wind-Heat-Damp.","LI11 (Quchi), SP10 (Xuehai), LI4 (Hegu), SP9 (Yinlingquan)",Xiao Feng San (Eliminate Wind Powder)
Q072,How would you combine acupuncture and herbal therapy for Herpes Zoster (Shingles)?,"Use acupuncture at GB34 (Yanglingquan), LI11 (Quchi), SP10 (Xuehai), LR2 (Xingjian) combined with Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction) for synergistic effects in addressing Liver-Fire with Damp-Heat.","GB34 (Yanglingquan), LI11 (Quchi), SP10 (Xuehai), LR2 (Xingjian)",Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction)
Q073,How would you combine acupuncture and herbal therapy for Alopecia Areata?,"Use acupuncture at BL18 (Ganshu), GB20 (Fengchi), GV20 (Baihui), BL17 (Geshu) combined with Shen Ying Yang Zhen Dan (Spirit Response Nourish Vitality Pill) for synergistic effects in addressing Liver-Blood Deficiency.","BL18 (Ganshu), GB20 (Fengchi), GV20 (Baihui), BL17 (Geshu)",Shen Ying Yang Zhen Dan (Spirit Response Nourish Vitality Pill)
Q074,How would you combine acupuncture and herbal therapy for Melasma?,"Use acupuncture at LR3 (Taichong), SP10 (Xuehai), LI4 (Hegu), ST36 (Zusanli) combined with Tao Hong Si Wu Tang (Persica & Carthamus Four Substance Decoction) for synergistic effects in addressing Liver-Qi Stagnation with Blood Stasis.","LR3 (Taichong), SP10 (Xuehai), LI4 (Hegu), ST36 (Zusanli)",Tao Hong Si Wu Tang (Persica & Carthamus Four Substance Decoction)
Q075,How would you combine acupuncture and herbal therapy for Warts?,"Use acupuncture at LI11 (Quchi), SP9 (Yinlingquan), LI4 (Hegu), local ah-shi points combined with Ma Chi Xian He Ji (Purslane Combination) for synergistic effects in addressing Exterior Wind with Toxic-Heat.","LI11 (Quchi), SP9 (Yinlingquan), LI4 (Hegu), local ah-shi points",Ma Chi Xian He Ji (Purslane Combination)
Q076,How would you combine acupuncture and herbal therapy for Furuncles (Boils)?,"Use acupuncture at LI11 (Quchi), SP10 (Xuehai), LI4 (Hegu), ST36 (Zusanli) combined with Wu Wei Xiao Du Yin (Five Ingredient Eliminate Toxin Decoction) for synergistic effects in addressing Toxic-Heat in Blood.","LI11 (Quchi), SP10 (Xuehai), LI4 (Hegu), ST36 (Zusanli)",Wu Wei Xiao Du Yin (Five Ingredient Eliminate Toxin Decoction)
Q077,How would you combine acupuncture and herbal therapy for Cellulitis?,"Use acupuncture at LI11 (Quchi), ST36 (Zusanli), SP6 (Sanyinjiao), local points combined with Huang Lian Jie Du Tang (Coptis Relieve Toxin Decoction) for synergistic effects in addressing Heat-Toxin invasion.","LI11 (Quchi), ST36 (Zusanli), SP6 (Sanyinjiao), local points",Huang Lian Jie Du Tang (Coptis Relieve Toxin Decoction)
Q078,How would you combine acupuncture and herbal therapy for Pruritus (Itching)?,"Use acupuncture at SP10 (Xuehai), BL17 (Geshu), LI11 (Quchi), GV14 (Dazhui) combined with Dang Gui Yin Zi (Tangkuei Drink) for synergistic effects in addressing Blood Deficiency with Wind.","SP10 (Xuehai), BL17 (Geshu), LI11 (Quchi), GV14 (Dazhui)",Dang Gui Yin Zi (Tangkuei Drink)
Q079,How would you combine acupuncture and herbal therapy for Dyshidrotic Eczema?,"Use acupuncture at SP6 (Sanyinjiao), SP9 (Yinlingquan), LI11 (Quchi), ST36 (Zusanli) combined with Chu Shi Wei Ling Tang (Eliminate Dampness Stomach-Spleen Decoction) for synergistic effects in addressing Spleen Deficiency with Damp-Heat.","SP6 (Sanyinjiao), SP9 (Yinlingquan), LI11 (Quchi), ST36 (Zusanli)",Chu Shi Wei Ling Tang (Eliminate Dampness Stomach-Spleen Decoction)
Q080,How would you combine acupuncture and herbal therapy for Folliculitis?,"Use acupuncture at LI11 (Quchi), ST36 (Zusanli), SP10 (Xuehai), LI4 (Hegu) combined with Wu Wei Xiao Du Yin (Five Ingredient Eliminate Toxin Decoction) for synergistic effects in addressing Damp-Heat with Toxins.","LI11 (Quchi), ST36 (Zusanli), SP10 (Xuehai), LI4 (Hegu)",Wu Wei Xiao Du Yin (Five Ingredient Eliminate Toxin Decoction)
