id,formula_name_pinyin,formula_name_english,main_indication_short,Enhanced_Nutrition_Modern_Diets
19,Ban Xia Bai Zhu Tian Ma Tang,"Pinellia, Atractylodes and Gastrodia Decoction",Wind-Phlegm causing dizziness and vertigo.,"🥬 Steamed vegetables, Bitter greens (arugula, dandelion), Radish, Mushrooms, Barley, Job's tears, Celery, Bok choy | 🍵 Green tea, Oolong tea | 🫚 Ginger, Turmeric | Avoid: Dairy (all), sugar, greasy/fried foods, wheat, alcohol, bananas, refined carbs | 🥄 Diet: Vegan/Vegetarian (excellent), Paleo (good), AIP, Whole30, Non-dairy essential; Incompatible with: Standard American Diet, Keto (too fatty)"
20,Ping Wei San,Calm the Stomach Powder,Cold-Damp obstructing the Spleen and Stomach.,"🥬 Steamed vegetables, Bitter greens (arugula, dandelion), Radish, Mushrooms, Barley, Job's tears, Celery, Bok choy | 🍵 Green tea, Oolong tea | 🫚 Ginger, Turmeric | Avoid: Dairy (all), sugar, greasy/fried foods, wheat, alcohol, bananas, refined carbs | 🥄 Diet: Vegan/Vegetarian (excellent), Paleo (good), AIP, Whole30, Non-dairy essential; Incompatible with: Standard American Diet, Keto (too fatty)"
21,Huo Xiang Zheng Qi San,Agastache Powder to Rectify the Qi,"External Damp with digestive upset, summer-cold.","🥬 Steamed vegetables, Bitter greens (arugula, dandelion), Radish, Mushrooms, Barley, Job's tears, Celery, Bok choy | 🍵 Green tea, Oolong tea | 🫚 Ginger, Turmeric | Avoid: Dairy (all), sugar, greasy/fried foods, wheat, alcohol, bananas, refined carbs | 🥄 Diet: Vegan/Vegetarian (excellent), Paleo (good), AIP, Whole30, Non-dairy essential; Incompatible with: Standard American Diet, Keto (too fatty)"
22,Bao He Wan,Preserve Harmony Pill,Food stagnation in the Stomach.,"🥬 Well-cooked vegetables, Ginger, Mint, Fennel, Radish (daikon), Papaya, Pineapple (enzymes) | 🍵 Digestive teas (peppermint, ginger, fennel) | 🥣 Rice porridge, Miso soup | Avoid: Overeating, greasy/fried foods, cold drinks, raw foods (temporarily), dairy, alcohol, processed foods | 🥄 Diet: Simple cooked foods, Small frequent meals, FODMAP (if IBS), Easily digestible; Temporary simplification"
23,Xiao Yao San,Rambling Powder,Liver Qi stagnation with Spleen deficiency and Blood deficiency.,"🥬 Dark leafy greens, Brassicas (broccoli, Brussels sprouts, cabbage, kale), Beets, Artichoke, Celery | 🍋 Lemon water (morning), Citrus peel | 🍵 Mint tea, Rose tea, Chrysanthemum | 🫒 Olive oil | Avoid: Alcohol, coffee (excess), heavy fatty meals, processed foods | 🥄 Diet: Mediterranean (best), Vegan/Vegetarian (excellent), Flexitarian, Omnivore; All diets suitable with emphasis on vegetables"
24,Jia Wei Xiao Yao San,Augmented Rambling Powder,Liver Qi stagnation with Heat and underlying Spleen/Blood deficiency.,"🥬 Dark leafy greens, Brassicas (broccoli, Brussels sprouts, cabbage, kale), Beets, Artichoke, Celery | 🍋 Lemon water (morning), Citrus peel | 🍵 Mint tea, Rose tea, Chrysanthemum | 🫒 Olive oil | Avoid: Alcohol, coffee (excess), heavy fatty meals, processed foods | 🥄 Diet: Mediterranean (best), Vegan/Vegetarian (excellent), Flexitarian, Omnivore; All diets suitable with emphasis on vegetables"
25,Chai Hu Shu Gan San,Bupleurum Powder to Spread the Liver,Liver Qi stagnation with costal pain and irritability.,"🥬 Dark leafy greens, Brassicas (broccoli, Brussels sprouts, cabbage, kale), Beets, Artichoke, Celery | 🍋 Lemon water (morning), Citrus peel | 🍵 Mint tea, Rose tea, Chrysanthemum | 🫒 Olive oil | Avoid: Alcohol, coffee (excess), heavy fatty meals, processed foods | 🥄 Diet: Mediterranean (best), Vegan/Vegetarian (excellent), Flexitarian, Omnivore; All diets suitable with emphasis on vegetables"
26,Tong Xie Yao Fang,Important Formula for Painful Diarrhea,Liver overacting on Spleen causing IBS-type diarrhea.,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
27,Tian Wang Bu Xin Dan,Emperor of Heaven’s Special Pill to Tonify the Heart,Heart and Kidney Yin deficiency with severe insomnia and palpitations.,"🌾 Whole grains (oats, wheat berries, brown rice), Dates, Longan fruit, Lily bulb, Lotus seed, Jujube | 🥛 Warm milk with honey (if tolerated) | 🌰 Almonds, Walnuts | 🫖 Chamomile tea, Passionflower tea | Avoid: Caffeine, alcohol, stimulants, energy drinks, excessive sugar | 🥄 Diet: Mediterranean, Vegetarian, Whole-food plant-based, Flexitarian; All diets adaptable - focus on calming foods"
28,Suan Zao Ren Tang,Sour Jujube Decoction,Liver Blood and Yin deficiency with insomnia and irritability.,"🌾 Whole grains (oats, wheat berries, brown rice), Dates, Longan fruit, Lily bulb, Lotus seed, Jujube | 🥛 Warm milk with honey (if tolerated) | 🌰 Almonds, Walnuts | 🫖 Chamomile tea, Passionflower tea | Avoid: Caffeine, alcohol, stimulants, energy drinks, excessive sugar | 🥄 Diet: Mediterranean, Vegetarian, Whole-food plant-based, Flexitarian; All diets adaptable - focus on calming foods"
29,Gan Mai Da Zao Tang,"Licorice, Wheat and Jujube Decoction",Heart Yin and Spleen deficiency with restless mood.,"🌾 Whole grains (oats, wheat berries, brown rice), Dates, Longan fruit, Lily bulb, Lotus seed, Jujube | 🥛 Warm milk with honey (if tolerated) | 🌰 Almonds, Walnuts | 🫖 Chamomile tea, Passionflower tea | Avoid: Caffeine, alcohol, stimulants, energy drinks, excessive sugar | 🥄 Diet: Mediterranean, Vegetarian, Whole-food plant-based, Flexitarian; All diets adaptable - focus on calming foods"
30,Zhi Gan Cao Tang,Honey-Fried Licorice Decoction,"Qi, Blood, and Yin deficiency with irregular pulse and palpitations.","🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
31,Tao Hong Si Wu Tang,Four Substances Decoction with Safflower and Peach Pit,"Blood deficiency with Blood stasis, especially gynecological.","🥩 Grass-fed red meat, Liver, Bone marrow broth, Dark leafy greens (spinach, chard), Beets, Blackstrap molasses, Eggs, Organic poultry | 🐟 Sardines, salmon | 🫘 Black beans, lentils | Avoid: Iced drinks, raw foods | 🥄 Diet: Omnivore/Paleo (best), Pescatarian (good), Iron-rich Mediterranean; Challenging for: Vegan (needs B12/iron supplements)"
32,Dang Gui Shao Yao San,Tangkuei and Peony Powder,Liver Blood deficiency with Damp and mild pain in pregnancy-type patterns (classical).,"🥩 Organic grass-fed meats (if eating meat), Pasture-raised eggs, Organic poultry | 🥬 Dark leafy greens (cooked), Beets, Black beans, Black sesame | 🐟 Wild salmon, Sardines | 🌰 Walnuts, Almonds | 🫖 Red raspberry leaf tea, Nettle tea | Avoid: Cold/raw foods, excess dairy, iced drinks, processed foods, soy (if estrogen dominant) | 🥄 Diet: Hormone-balancing omnivore, Paleo for women, Pescatarian; Focus on warm nourishing foods"
33,Wen Jing Tang,Warm the Menses Decoction,Cold in the Uterus with Blood stasis causing irregular menses.,"🌶️ Turmeric (curcumin), Ginger, Garlic, Onions, Dark berries (blueberries, blackberries), Tart cherries | 🐟 Omega-3 rich fish (wild salmon, mackerel, sardines) | 🥬 Beets, Dark leafy greens, Eggplant | 🫒 Extra virgin olive oil, Flax oil | Avoid: Saturated fats, trans fats, excess salt, processed meats | 🥄 Diet: Mediterranean (best), Anti-inflammatory, Pescatarian, Whole30, Paleo; Compatible with most diets"
34,Gui Zhi Fu Ling Wan,Cinnamon Twig and Poria Pill,Blood stasis in the Uterus with masses and pain.,"🌶️ Turmeric (curcumin), Ginger, Garlic, Onions, Dark berries (blueberries, blackberries), Tart cherries | 🐟 Omega-3 rich fish (wild salmon, mackerel, sardines) | 🥬 Beets, Dark leafy greens, Eggplant | 🫒 Extra virgin olive oil, Flax oil | Avoid: Saturated fats, trans fats, excess salt, processed meats | 🥄 Diet: Mediterranean (best), Anti-inflammatory, Pescatarian, Whole30, Paleo; Compatible with most diets"
35,Bu Shen Tiao Jing Fang,Kidney-Supplementing Menstruation-Regulating Formula,Kidney deficiency-type irregular menses (modern TCM).,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
36,Yue Ju Wan,Escape Restraint Pill,"Six stagnations (Qi, Blood, Damp, Phlegm, Food, Fire).","🥬 Dark leafy greens, Brassicas (broccoli, Brussels sprouts, cabbage, kale), Beets, Artichoke, Celery | 🍋 Lemon water (morning), Citrus peel | 🍵 Mint tea, Rose tea, Chrysanthemum | 🫒 Olive oil | Avoid: Alcohol, coffee (excess), heavy fatty meals, processed foods | 🥄 Diet: Mediterranean (best), Vegan/Vegetarian (excellent), Flexitarian, Omnivore; All diets suitable with emphasis on vegetables"
37,Xue Fu Zhu Yu Tang,Drive Out Stasis in the Mansion of Blood Decoction,Blood stasis in chest with pain and restlessness.,"🌶️ Turmeric (curcumin), Ginger, Garlic, Onions, Dark berries (blueberries, blackberries), Tart cherries | 🐟 Omega-3 rich fish (wild salmon, mackerel, sardines) | 🥬 Beets, Dark leafy greens, Eggplant | 🫒 Extra virgin olive oil, Flax oil | Avoid: Saturated fats, trans fats, excess salt, processed meats | 🥄 Diet: Mediterranean (best), Anti-inflammatory, Pescatarian, Whole30, Paleo; Compatible with most diets"
38,Ge Xia Zhu Yu Tang,Drive Out Blood Stasis Below the Diaphragm Decoction,Blood stasis below diaphragm with abdominal masses and pain.,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
39,Shao Fu Zhu Yu Tang,Drive Out Blood Stasis in the Lower Abdomen Decoction,Blood stasis in lower abdomen with cold pain.,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
40,Bu Yang Huan Wu Tang,Tonify the Yang to Restore Five-Tenths Decoction,"Qi deficiency with Blood stasis, post-stroke sequelae.","🌶️ Turmeric (curcumin), Ginger, Garlic, Onions, Dark berries (blueberries, blackberries), Tart cherries | 🐟 Omega-3 rich fish (wild salmon, mackerel, sardines) | 🥬 Beets, Dark leafy greens, Eggplant | 🫒 Extra virgin olive oil, Flax oil | Avoid: Saturated fats, trans fats, excess salt, processed meats | 🥄 Diet: Mediterranean (best), Anti-inflammatory, Pescatarian, Whole30, Paleo; Compatible with most diets"
41,Dang Gui Bu Xue Tang,Tangkuei and Astragalus Decoction,Qi and Blood deficiency with tendency to bleed or fatigue.,"🥩 Grass-fed red meat, Liver, Bone marrow broth, Dark leafy greens (spinach, chard), Beets, Blackstrap molasses, Eggs, Organic poultry | 🐟 Sardines, salmon | 🫘 Black beans, lentils | Avoid: Iced drinks, raw foods | 🥄 Diet: Omnivore/Paleo (best), Pescatarian (good), Iron-rich Mediterranean; Challenging for: Vegan (needs B12/iron supplements)"
42,Jin Suo Gu Jing Wan,Metal Lock Pill to Stabilize the Essence,Kidney Qi deficiency with spermatorrhea.,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
43,Sang Piao Xiao San,Mantis Egg-Case Powder,Heart and Kidney Qi deficiency with urinary and sexual issues.,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
44,Gui Zhi Tang,Cinnamon Twig Decoction,Exterior Wind-Cold with deficiency of Ying and Wei.,"🍲 Warm soups, Bone/vegetable broth, Ginger tea (fresh), Garlic, Scallions, Onions | 🍊 Vitamin C foods (citrus, kiwi, bell peppers, strawberries) | 🍯 Raw honey, Manuka honey | 🥣 Rice congee | Avoid: Dairy (mucus-forming), cold/raw foods, sugar, processed foods, alcohol | 🥄 Diet: Light easily digestible - Soup-based, Bone broth diet, BRAT modification; Temporary healing protocol"
45,Ma Huang Tang,Ephedra Decoction,Exterior excess Wind-Cold without sweating (classical).,"🍲 Warm soups, Bone/vegetable broth, Ginger tea (fresh), Garlic, Scallions, Onions | 🍊 Vitamin C foods (citrus, kiwi, bell peppers, strawberries) | 🍯 Raw honey, Manuka honey | 🥣 Rice congee | Avoid: Dairy (mucus-forming), cold/raw foods, sugar, processed foods, alcohol | 🥄 Diet: Light easily digestible - Soup-based, Bone broth diet, BRAT modification; Temporary healing protocol"
46,Yin Qiao San,Honeysuckle and Forsythia Powder,Exterior Wind-Heat with sore throat and fever.,"🍲 Warm soups, Bone/vegetable broth, Ginger tea (fresh), Garlic, Scallions, Onions | 🍊 Vitamin C foods (citrus, kiwi, bell peppers, strawberries) | 🍯 Raw honey, Manuka honey | 🥣 Rice congee | Avoid: Dairy (mucus-forming), cold/raw foods, sugar, processed foods, alcohol | 🥄 Diet: Light easily digestible - Soup-based, Bone broth diet, BRAT modification; Temporary healing protocol"
47,Sang Ju Yin,Mulberry Leaf and Chrysanthemum Decoction,Early-stage Wind-Heat cough.,"🍲 Warm soups, Bone/vegetable broth, Ginger tea (fresh), Garlic, Scallions, Onions | 🍊 Vitamin C foods (citrus, kiwi, bell peppers, strawberries) | 🍯 Raw honey, Manuka honey | 🥣 Rice congee | Avoid: Dairy (mucus-forming), cold/raw foods, sugar, processed foods, alcohol | 🥄 Diet: Light easily digestible - Soup-based, Bone broth diet, BRAT modification; Temporary healing protocol"
48,Chai Ge Jie Ji Tang,Bupleurum and Kudzu Decoction to Release the Muscle Layer,Wind-Cold moving into Heat with body aches and fever.,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
49,Ma Xing Shi Gan Tang,"Ephedra, Apricot Kernel, Gypsum and Licorice Decoction",Heat lodged in Lungs causing wheeze and cough.,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
50,Bai Hu Tang,White Tiger Decoction,Qi-level blazing Heat with high fever and thirst.,"🥒 Cooling vegetables (cucumber, celery, lettuce, bok choy), Watermelon, Pear, Asian pear, Mung beans, Tofu | 🍵 Chrysanthemum tea, Mint tea, Green tea | 🌿 Cilantro, Watercress | Avoid: Spicy foods, fried foods, alcohol, red meat, lamb, shrimp, coffee, chocolate | 🥄 Diet: Vegan/Vegetarian (ideal during treatment), Raw vegan (short-term), Macrobiotic, Cooling foods focus"
51,Qing Ying Tang,Clear the Nutritive Level Decoction,Heat in the Ying level with delirium and rash.,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
52,Xi Jiao Di Huang Tang,Rhinoceros Horn and Rehmannia Decoction,Heat entering Blood level with bleeding and rashes (now using substitutes).,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
53,Long Dan Xie Gan Tang,Gentiana Longdancao Decoction to Drain the Liver,"Liver/Gallbladder Damp-Heat with headache, irritability, genital symptoms.","🥒 Cooling vegetables (cucumber, celery, lettuce, bok choy), Watermelon, Pear, Asian pear, Mung beans, Tofu | 🍵 Chrysanthemum tea, Mint tea, Green tea | 🌿 Cilantro, Watercress | Avoid: Spicy foods, fried foods, alcohol, red meat, lamb, shrimp, coffee, chocolate | 🥄 Diet: Vegan/Vegetarian (ideal during treatment), Raw vegan (short-term), Macrobiotic, Cooling foods focus"
54,Dao Chi San,Guide Out the Red Powder,Heart Fire / Small Intestine Heat with mouth ulcers and dark urine.,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
