Question,Answer,Points,Pharmacopeia,Pregnancy_Warning
What is the treatment for worry and overthinking?,SP6 and ST36 for Spleen affected by worry. HT7 for Heart housing thoughts. GV20 to lift brooding. Yintang for mental calm. PC6 for chest oppression.,"SP6, ST36, HT7, GV20, Yintang, PC6",Gui Pi Tang,Safe Spleen-nourishing during pregnancy
How to treat fear and phobias?,KI3 (Taixi) for Kidney ruling fear. BL23 (Shenshu) strengthens Kidney. GV4 for Ming Men courage. HT7 calms Heart. GB34 for Gallbladder decisiveness.,"KI3, BL23, GV4, HT7, GB34",Pattern-based Kidney tonics,Safe Kidney support during pregnancy
What points help with addiction recovery?,Ear NADA protocol (Shenmen Sympathetic Kidney Liver Lung). HT7 for Heart cravings. LR3 for Liver. ST36 for constitution. PC6 for emotional regulation.,"Ear points, HT7, LR3, ST36, PC6",Pattern-based support formulas,Safe supportive points during pregnancy
How to treat psychosomatic symptoms?,PC6 for Heart-body connection. CV17 for chest symptoms. LR3 for Liver affecting body. HT7 for Heart Shen. ST36 for grounding in body.,"PC6, CV17, LR3, HT7, ST36",Xiao Yao San; Ban Xia Hou Po Tang,Safe approach during pregnancy
What is the treatment for burnout?,ST36 essential for Qi depletion. CV4 and CV6 for essence. KI3 for Kidney exhaustion. BL23 for Kidney support. GV20 to restore mental clarity.,"ST36, CV4, CV6, KI3, BL23, GV20",Bu Zhong Yi Qi Tang; Shen Qi formulas,Safe tonification during pregnancy
How to treat seasonal affective disorder?,GV20 (Baihui) lifts spirit. LR3 moves stagnation. ST36 for Yang Qi. BL23 for Kidney Yang. Moxa important for warming.,"GV20, LR3, ST36, BL23",Bu Zhong Yi Qi Tang plus,Safe tonification during pregnancy
What points help with nightmares?,HT7 calms Heart Shen. Anmian for sleep. KI3 for Kidney (fear dreams). GB44 (Zuqiaoyin) for dreams. PC6 for chest/Heart.,"HT7, Anmian, KI3, GB44, PC6",An Shen formulas,Safe sleep support during pregnancy
How to treat emotional numbness?,PC6 opens Heart protector. CV17 (Shanzhong) for chest. HT7 for Heart feeling. LR3 moves stagnation. KI3 for deep essence.,"PC6, CV17, HT7, LR3, KI3",Gan Mai Da Zao Tang; Xiao Yao San,Safe emotional support during pregnancy
What is the treatment for irritability?,LR2 (Xingjian) clears Liver heat. LR3 moves Liver Qi. GB34 for Gallbladder. GV20 calms rising Yang. PC6 for emotional balance.,"LR2, LR3, GB34, GV20, PC6",Dan Zhi Xiao Yao San; Long Dan Xie Gan Tang,Use milder Liver-soothing during pregnancy
How to treat mental fog and confusion?,GV20 and Sishencong for clarity. ST36 for Spleen making clear Yang. SP6 for blood nourishing brain. HT7 for Heart cognition. KI3 for essence.,"GV20, Sishencong, ST36, SP6, HT7, KI3",Pattern-based - often phlegm or deficiency formulas,Safe cognitive support during pregnancy
What points help with emotional instability?,PC6 stabilizes emotions. HT7 calms Heart. LR3 smooths Liver. GV20 for overall regulation. SP6 nourishes blood stabilizing emotions.,"PC6, HT7, LR3, GV20, SP6",Xiao Yao San; Gan Mai Da Zao Tang,Safe stabilizing during pregnancy
How to treat nervous tension?,GB21 (Jianjing) releases held tension. GB20 for neck and shoulders. LR3 for Liver Qi. PC6 for chest. HT7 for Heart.,"GB21, GB20, LR3, PC6, HT7",Xiao Yao San,GB21 contraindicated during pregnancy
What is the treatment for hypochondria?,PC6 for Heart affecting perception. SP6 for Spleen rumination. HT7 for Heart worry. LR3 for Liver Qi stagnation. CV12 for middle jiao.,"PC6, SP6, HT7, LR3, CV12",Gui Pi Tang; Xiao Yao San,Safe treatment during pregnancy
How to treat performance anxiety?,HT7 calms Heart. PC6 for chest tightness. GV20 for clear mind. LR3 for Liver affecting performance. GB34 for Gallbladder courage.,"HT7, PC6, GV20, LR3, GB34",Xiao Yao San; Gan Mai Da Zao Tang,Safe pre-performance support during pregnancy
What points help with restlessness?,HT7 (Shenmen) settles the Shen. PC6 calms agitation. Yintang for mental peace. KI3 grounds the spirit. GV20 for overall calming.,"HT7, PC6, Yintang, KI3, GV20",Tian Wang Bu Xin Dan; Suan Zao Ren Tang,Safe calming during pregnancy
How to treat emotional exhaustion?,ST36 rebuilds Qi. SP6 nourishes blood. CV4 for essence. KI3 for Kidney. HT7 for Heart. BL15 (Xinshu) for Heart shu.,"ST36, SP6, CV4, KI3, HT7, BL15",Gui Pi Tang; Ba Zhen Tang,Safe tonification during pregnancy
What is the Liver Qi stagnation pattern in emotions?,Liver Qi stagnation causes irritability frustration feeling stuck sighing chest/hypochondriac distension depression alternating with anger. Pulse is wiry; tongue may be slightly purple.,"LR3, LR14, PC6, GB34, CV17",Xiao Yao San; Chai Hu Shu Gan San,Safe formulas during pregnancy
How to treat Heart Blood deficiency affecting mind?,Heart Blood deficiency causes anxiety insomnia poor memory palpitations dream-disturbed sleep. Tongue is pale; pulse is thin. Common in overwork or post-illness.,"HT7, BL15, SP6, ST36, PC6",Gui Pi Tang; Tian Wang Bu Xin Dan,Safe blood-nourishing during pregnancy
What points help Heart and Kidney not communicating?,This pattern shows anxiety with fear insomnia with agitation hot above cold below. KI3 and HT7 are the pair. PC6 connects. CV4 for Kidney.,"KI3, HT7, PC6, CV4, Yintang",Jiao Tai Wan; Tian Wang Bu Xin Dan,Safe pattern treatment during pregnancy
How to treat Phlegm misting the Heart?,Phlegm misting Heart causes mental confusion disorientation strange behavior. Tongue has thick greasy coating. ST40 resolves phlegm. GV20 and HT7 for mind. PC6 for chest.,"ST40, GV20, HT7, PC6, CV12",Wen Dan Tang; Di Tan Tang,Mild phlegm-resolving during pregnancy
What is the treatment for Gallbladder Qi deficiency?,Gallbladder deficiency causes timidity indecision fearfulness easily startled. GB40 (Qiuxu) is the source point. GB34 for Gallbladder. HT7 for Heart. GV20 for courage.,"GB40, GB34, HT7, GV20",Wen Dan Tang modifications,Safe tonification during pregnancy
How to treat agitation from Yin deficiency?,Yin deficiency agitation shows restlessness worse at night night sweats anxiety with heat. KI3 and KI6 nourish Yin. HT6 (Yinxi) clears Heart heat. SP6 for overall Yin.,"KI3, KI6, HT6, SP6, HT7",Liu Wei Di Huang Wan; Tian Wang Bu Xin Dan,Safe Yin-nourishing during pregnancy
What points help with suicidal ideation?,Emergency referral essential. Supportive points: GV20 lifts spirit; HT7 calms Heart; PC6 for emotional regulation; LR3 moves stagnation. Crisis intervention primary.,"GV20, HT7, PC6, LR3",Chai Hu Jia Long Gu Mu Li Tang,Refer immediately - coordinate with mental health crisis care
How to treat somatization disorder?,PC6 for mind-body connection. CV17 for chest symptoms. ST36 for grounding. LR3 for Liver affecting body. Pattern-based point selection for symptoms.,"PC6, CV17, ST36, LR3, pattern points",Pattern-based formulas,Safe approach during pregnancy
What is the treatment for dissociation?,KI3 grounds to Kidney essence. GV20 centers the spirit. HT7 anchors the Shen. PC6 connects Heart and body. CV4 for foundation.,"KI3, GV20, HT7, PC6, CV4",Kidney and Heart tonics,Safe grounding during pregnancy
How to treat anticipatory anxiety?,PC6 for chest symptoms. HT7 for Heart. LR3 for Liver Qi. GV20 for mental calm. Yintang for centering. Treat before anticipated event.,"PC6, HT7, LR3, GV20, Yintang",Xiao Yao San; Gan Mai Da Zao Tang,Safe anxiety support during pregnancy
What points help with compulsive behaviors?,HT7 calms obsessive patterns. LR3 for Liver rigidity. GV20 for mental flexibility. PC6 for emotional regulation. ST40 if phlegm component.,"HT7, LR3, GV20, PC6, ST40",Gui Pi Tang; Wen Dan Tang,Safe supportive treatment during pregnancy
How to treat emotional trauma stored in body?,Local points where trauma is held. GB21 for shoulders (burden). BL15 for Heart. PC6 for chest protection. HT7 for Heart Shen release.,"Local Ahshi, GB21, BL15, PC6, HT7",Xue Fu Zhu Yu Tang for chest; pattern-based,GB21 contraindicated; modify for pregnancy
What is the treatment for manic episodes?,GV20 descends excess Yang. LR2 (Xingjian) drains Liver fire. HT8 (Shaofu) clears Heart fire. PC7 (Daling) calms spirit. Coordinate with psychiatric care.,"GV20, LR2, HT8, PC7",Emergency formulas if needed,Coordinate with psychiatric care during pregnancy
How to treat rumination and overthinking?,SP6 and ST36 for Spleen (worry organ). HT7 for Heart thoughts. GV20 to lift brooding. Yintang for mental peace. PC6 for chest oppression.,"SP6, ST36, HT7, GV20, Yintang, PC6",Gui Pi Tang,Safe Spleen support during pregnancy
What points help with social anxiety?,HT7 calms Heart in social situations. PC6 for chest/heart racing. LR3 for Liver Qi stagnation. GB34 for Gallbladder courage. GV20 for confidence.,"HT7, PC6, LR3, GB34, GV20",Xiao Yao San; Chai Hu formulas,Safe anxiety support during pregnancy
How to treat adjustment disorder?,LR3 for adapting to change. PC6 for emotional regulation. HT7 for Heart stability. GV20 for mental flexibility. ST36 for grounding.,"LR3, PC6, HT7, GV20, ST36",Xiao Yao San,Safe transitional support during pregnancy
What is the treatment for generalized anxiety disorder?,HT7 (Shenmen) primary for anxiety. PC6 for chest and Heart. GV20 for mental calm. LR3 for Liver Qi. KI3 for Kidney-Heart. Yintang for peace.,"HT7, PC6, GV20, LR3, KI3, Yintang",Xiao Yao San; Gui Pi Tang,Safe long-term treatment during pregnancy
How to treat agoraphobia?,KI3 for Kidney/fear. HT7 for Heart. PC6 for panic symptoms. GV20 for mental confidence. GB34 for Gallbladder courage. Gradual exposure with treatment.,"KI3, HT7, PC6, GV20, GB34",Kidney and Heart tonics,Safe phobia support during pregnancy
What points help with health anxiety?,PC6 for body awareness. HT7 for Heart worry. SP6 for Spleen rumination. CV12 for physical symptoms. LR3 for Liver stagnation.,"PC6, HT7, SP6, CV12, LR3",Gui Pi Tang; Xiao Yao San,Safe reassurance approach during pregnancy
How to treat emotional lability from hormones?,LR3 for Liver affecting emotions. SP6 for blood/hormones. CV4 for Ren Mai. PC6 for emotional stability. HT7 for Heart.,"LR3, SP6, CV4, PC6, HT7",Xiao Yao San; pattern-based,Common during pregnancy - safe treatment
What is the treatment for existential anxiety?,KI3 for Kidney essence (life purpose). GV20 for spiritual connection. HT7 for Heart Shen. CV4 for foundation. Yintang for third eye/insight.,"KI3, GV20, HT7, CV4, Yintang",Kidney and Heart tonics,Safe existential support during pregnancy
How to treat hypervigilance?,GB20 releases held tension. HT7 calms hyperactive Heart. KI3 for fear response. PC6 for chest. GV20 for mental relaxation.,"GB20, HT7, KI3, PC6, GV20",Chai Hu Jia Long Gu Mu Li Tang modified,Safe calming during pregnancy
What points help with emotional eating?,ST36 and CV12 for Stomach. PC6 for emotional eating pattern. HT7 for Heart comfort-seeking. LR3 for Liver-Spleen. Ear hunger point.,"ST36, CV12, PC6, HT7, LR3",Xiao Yao San plus digestive,Safe approach during pregnancy
How to treat chronic worry?,SP6 and ST36 for Spleen (worry damages Spleen). HT7 for Heart. GV20 to lift. Yintang for peace. CV12 for middle jiao.,"SP6, ST36, HT7, GV20, Yintang, CV12",Gui Pi Tang,Safe worry treatment during pregnancy
What is the treatment for feelings of unworthiness?,GV20 (Baihui) lifts spirit. HT7 for Heart Shen. KI3 for Kidney essence/self. CV4 for foundation. LR3 for stagnation.,"GV20, HT7, KI3, CV4, LR3",Gui Pi Tang; Xiao Yao San,Safe supportive treatment during pregnancy
How to treat chronic shame?,PC6 opens Heart protector. HT7 for Heart. CV17 for chest. LR3 for Liver affecting emotions. GV20 for mental healing.,"PC6, HT7, CV17, LR3, GV20",Xiao Yao San; Gan Mai Da Zao Tang,Safe emotional healing during pregnancy
What points help with difficulty concentrating?,GV20 and Sishencong for mental clarity. HT7 for Heart cognition. KI3 for Kidney essence. SP6 for blood nourishing brain. ST36 for Qi.,"GV20, Sishencong, HT7, KI3, SP6, ST36",Pattern-based cognitive support,Safe concentration support during pregnancy
How to treat emotional emptiness?,HT7 for Heart Shen. CV17 for Heart area. KI3 for Kidney essence. PC6 for emotional connection. GV20 for spirit.,"HT7, CV17, KI3, PC6, GV20",Gui Pi Tang; Kidney tonics,Safe emotional nourishment during pregnancy
What is the treatment for lack of motivation?,ST36 essential for Qi. GV20 for spirit lifting. LR3 for Liver Qi flow. KI3 for Kidney willpower. BL23 for Kidney Yang.,"ST36, GV20, LR3, KI3, BL23",Bu Zhong Yi Qi Tang,Safe motivation support during pregnancy
How to treat feeling disconnected?,PC6 for Heart protector opening. HT7 for Heart connection. CV17 for chest. LR3 for Liver flow. GV20 for spirit presence.,"PC6, HT7, CV17, LR3, GV20",Xiao Yao San; Gui Pi Tang,Safe connection treatment during pregnancy
What points help with feeling overwhelmed?,LR3 for Liver Qi flow. GB21 for shoulder burden. GV20 for mental clarity. PC6 for chest. HT7 for Heart calm.,"LR3, GB21, GV20, PC6, HT7",Xiao Yao San,GB21 contraindicated during pregnancy; use alternatives
How to treat chronic disappointment?,LR3 for Liver Qi stagnation. PC6 for Heart protection. HT7 for Heart healing. GV20 for perspective. LU7 for grief component.,"LR3, PC6, HT7, GV20, LU7",Xiao Yao San; Gan Mai Da Zao Tang,Safe emotional healing during pregnancy
What is the treatment for emotional flatness?,PC6 opens emotional capacity. HT7 for Heart feeling. LR3 for Liver flow. CV17 for chest. KI3 for Kidney vitality.,"PC6, HT7, LR3, CV17, KI3",Xiao Yao San; Gui Pi Tang,Safe emotional treatment during pregnancy
How to treat fear of the future?,KI3 for Kidney (fear). HT7 for Heart worry. LR3 for Liver planning. GV20 for perspective. PC6 for emotional stability.,"KI3, HT7, LR3, GV20, PC6",Kidney and Heart tonics,Safe anxiety support during pregnancy
What points help with difficulty letting go?,LU7 for Lung (letting go). LR3 for Liver Qi flow. PC6 for emotional release. HT7 for Heart. GV20 for mental flexibility.,"LU7, LR3, PC6, HT7, GV20",Xiao Yao San,Safe emotional processing during pregnancy
How to treat chronic loneliness?,PC6 opens Heart protector. HT7 for Heart. CV17 for chest. KI3 for Kidney essence. GV20 for spirit connection.,"PC6, HT7, CV17, KI3, GV20",Gui Pi Tang,Safe emotional support during pregnancy
What is the treatment for persistent sadness?,GV20 lifts spirit. LU7 for grief/sadness. HT7 for Heart. PC6 for chest. SP6 for blood nourishing Heart.,"GV20, LU7, HT7, PC6, SP6",Xiao Yao San; Gan Mai Da Zao Tang,Safe mood support during pregnancy
How to treat emotional volatility in perimenopause?,LR3 for Liver Qi. KI3 for Kidney. HT7 for Heart stability. SP6 for blood/hormones. GV20 for balance.,"LR3, KI3, HT7, SP6, GV20",Xiao Yao San; Er Xian Tang,Not applicable during pregnancy - perimenopause
What points help with chronic resentment?,LR3 strongly moves stagnation. LR2 if fire present. PC6 for Heart protection. HT7 for Heart. GB34 for Gallbladder.,"LR3, LR2, PC6, HT7, GB34",Xiao Yao San; Dan Zhi Xiao Yao San,Safe Liver-soothing during pregnancy
How to treat emotional sensitivity?,PC6 for Heart protector. HT7 for Heart. SP6 for blood stability. KI3 for grounding. LR3 for Liver flow.,"PC6, HT7, SP6, KI3, LR3",Gui Pi Tang; Xiao Yao San,Safe sensitivity support during pregnancy
What is the role of lifestyle in mental health treatment?,Lifestyle is essential: regular sleep schedule moderate exercise balanced diet stress management social connection nature exposure mindfulness. TCM treatment supports but lifestyle is foundation.,"ST36, SP6, LR3, HT7 for support",Pattern-based constitutional support,Lifestyle counseling safe during pregnancy
